Rank,Governor ID,Name,Power,DKP,Total Deads,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills
1,210013241,Ibra メ Break 25,86111441.0,300671140.0,1752901.0,443271185.0,136845.0,109993.0,0.0,19650297.0,12326043.0
2,208553378,MOI ヽMENGHITAM,64832532.0,204458205.0,83030.0,328069453.0,709361.0,4826.0,96727.0,16808144.0,7972479.0
3,202361347,GunヽMENGHITAM,71260256.0,112918025.0,16383.0,170549808.0,17231.0,3149.0,8851.0,6049720.0,5500373.0
4,209598156,HananヽMENGHITAM,59443344.0,107108295.0,313005.0,161298838.0,215266.0,548.0,7.0,6785100.0,4670183.0
5,207272440,Ƥɛɾ彡,63699959.0,95622665.0,52132.0,148234260.0,0.0,0.0,0.0,6429740.0,4196843.0
6,208316876,NooKヽMENGHITAM,56235679.0,93190100.0,421253.0,147549556.0,255874.0,21087.0,56467.0,8578074.0,3072480.0
7,209150032,zelヽMENGHITAM,61650688.0,85182160.0,364410.0,122915922.0,1477.0,7.0,2348.0,4256642.0,4016990.0
8,208478171,SLヽMENGHITAM,52725093.0,75554190.0,202478.0,110416399.0,27325.0,172.0,4490.0,3706025.0,3666619.0
9,204642129,LuccyヽMENGHITAM,54686536.0,72314330.0,211877.0,123028993.0,642961.0,419823.0,664166.0,7743003.0,2098703.0
10,209185205,Adiraᴹʸメ3925,58195908.0,69572520.0,329959.0,102243875.0,122668.0,12762.0,1297.0,4147417.0,3035723.0
11,208164201,ˣ9 MOI,46098552.0,62670720.0,90350.0,95478367.0,22884.0,1402.0,174.0,3934199.0,2806415.0
12,205575261,SniperヽMENGHITA,60917973.0,61737715.0,137726.0,86270578.0,139868.0,30132.0,0.0,1710520.0,3453857.0
13,209906771,OyabunヽHITAM,43614271.0,59461470.0,298752.0,88020910.0,5542.0,79.0,871.0,3815268.0,2493174.0
14,209927653,ỐcヽMENGHITAM,46608072.0,55632555.0,74878.0,93578034.0,1543340.0,50920.0,188624.0,5770399.0,1735452.0
15,209581349,BlassヽMENGHITAM,75390228.0,55060555.0,256297.0,81607055.0,12753.0,821.0,3163.0,3478029.0,2340496.0
16,207663148,VOLTEMヽMNGHITAM,55957978.0,54430400.0,201985.0,81162063.0,4365.0,3815.0,5935.0,3374726.0,2369128.0
17,207783537,WANGヽMENGHITAM,42156162.0,52205160.0,130143.0,75913481.0,18992.0,34771.0,0.0,2390550.0,2596732.0
18,206764184,LickMy Ash,45506001.0,49057345.0,61272.0,76265041.0,6816.0,264.0,185.0,3500873.0,2062684.0
19,207191129,TETOT メ 3925,45786169.0,48436545.0,500917.0,67566173.0,150943.0,146815.0,65341.0,2723347.0,1987376.0
20,207501878,メSIAPヽMENGHITAM,56426696.0,48323625.0,15733.0,77012225.0,76564.0,120.0,1008.0,3831274.0,1933995.0
21,210389039,MorphヽMENGHITAM,50001997.0,47709420.0,350037.0,63986331.0,7401.0,0.0,0.0,1511835.0,2443325.0
22,209068551,AntabaヽMEGHITAM,44469328.0,45502645.0,548930.0,65880213.0,174713.0,645.0,1905.0,3745570.0,1419033.0
23,208371890,AdeptヽMENGHITAM,51546276.0,43083460.0,634245.0,55952336.0,276358.0,95145.0,671.0,2014823.0,1777793.0
24,203017361,FellyヽMENGHITAM,57483072.0,42630130.0,51611.0,68486410.0,0.0,0.0,0.0,3700315.0,1574163.0
25,211308172,MedxxヽMENGHITAM,41446830.0,40276440.0,366271.0,58426450.0,71582.0,5142.0,2415.0,2872165.0,1483527.0
26,209598183,YABOOヽMENGHITAM,38481075.0,38919350.0,179597.0,55404945.0,5265.0,761.0,0.0,1771359.0,1884439.0
27,210450075,KimヽMENGHITAM,67066337.0,37557810.0,377490.0,53414432.0,311920.0,58600.0,295207.0,2103042.0,1551180.0
28,203466107,CEK7menghitam,54083925.0,36708510.0,292144.0,50901920.0,72944.0,759.0,161.0,1750723.0,1668897.0
29,209078437,Fair ヽMENGHITAM,44281821.0,36406825.0,136808.0,54300079.0,1081.0,0.0,713.0,2273605.0,1578048.0
30,210737713,Yarma MENGHITAM,34570566.0,35974700.0,603174.0,44809424.0,7941.0,0.0,1719.0,1463104.0,1508496.0
31,210447930,ChillヽMENGHITAM,40140529.0,35889190.0,299461.0,50083865.0,120656.0,14047.0,0.0,1851660.0,1575752.0
