Name,Player ID,Clan,Power,Kill Points,RSS Assistance,DKP,Dead
ᶲMrFoolsDay,208649830,ADRL,25855788,3442366,0,0.0,0.0
ˢᵛJoiSai,207592439,ADRL,24220478,5402051,0,0.0,0.0
lãotứk,210664315,ADRL,20253958,3835796,0,0.0,0.0
ᴿᵂEmmy,209119164,AL,44931839,8748968,0,2033418.0,78936.0
ᴿᵂMama Wolf,208200545,AL,39486990,47476552,0,300167.0,553.0
ᴿᵂintruglio,208198410,AL,29076844,16487407,0,1725339.0,59311.0
DEMId 01,210218341,AL,28699802,3390385,0,58618.0,0.0
Evertonian,209807832,AL,28318151,8478238,0,2969584.0,143432.0
Dâu tây cny,210066323,AL,28150585,27461427,0,1402158.0,2716.0
ᴿᵂSabrewolf,208961613,AL,27898781,3146116,0,1179476.0,50200.0
клевый,207938366,AL,27388555,1701565,0,36978.0,0.0
ᴿᵂIndigo,208164511,AL,27101379,27111276,0,2202070.0,45674.0
Parot,207275480,AL,26694362,31584191,0,71332.0,0.0
ᴿᵂ Musti,208211560,AL,26389572,12486732,0,678797.0,42373.0
rw kk,208188806,AL,25391570,15345219,0,2706743.0,85133.0
Cá161691,210387001,AL,25064172,9490752,0,2173999.0,138271.0
maiconphieu,209986084,AL,25024455,1338691,0,142332.0,0.0
ᶲ Lady D,209836261,AL,24632313,4016460,0,0.0,0.0
YAMAMOTHO,206917763,AL,24612145,24847182,0,0.0,0.0
ᴿᵂ DuongBeo,209835098,AL,24174448,3884807,0,198228.0,0.0
Мех,210402314,AL,23329454,2950760,0,2682912.0,173220.0
Panda Legion,210562229,AL,23237736,48508582,0,680542.0,11148.0
Aryta,209872477,AL,23236529,9191963,0,967130.0,35452.0
ᴿᵂManuel,207689266,AL,23151090,29725908,0,103904.0,0.0
ᴿᵂGRAYWOLF,208226755,AL,23023420,19161879,0,392482.0,17940.0
ᴿᵂKapo,209885315,AL,22517057,4789596,0,0.0,0.0
ᴿᵂ Rooster,208211218,AL,22503421,55693720,0,1394926.0,67246.0
RWxLoneStar,207688109,AL,22432645,6460655,0,0.0,0.0
Burak3523,209842652,AL,21584102,1217209,0,0.0,0.0
Eren kaya 06,210252173,AL,21474395,2307174,0,50944.0,0.0
Coconut15,209882504,AL,21366853,8841114,0,0.0,0.0
viva farm 5555,208373408,AL,21287721,1231541,0,0.0,0.0
24X҉  TolganaC,209905081,LW,39808750,61246392,0,0.0,0.0
24 X҉ LãoTam,210676623,LW,36400067,22399989,0,541864.0,0.0
bulldog,210401319,LW,30967795,7662115,0,408532.0,0.0
Gopq,210249125,LW,30114391,5075019,0,0.0,0.0
Ulvsbane farm,212007469,LW,29936015,4807792,0,915837.0,29025.0
ᴷᴰ NirF,207748792,LW,29328991,4040793,0,0.0,0.0
ᶲ Aheles,208560935,LW,29115288,6867852,151683654,20156.0,0.0
QUADBREED,207320759,LW,28927909,4921026,0,1506129.0,99271.0
Quynhhxxihgaiii,209757200,LW,28541457,2130468,0,3600.0,0.0
