player id,name,power,kill point,rank,rss assist,clan name
207434370,ᴾᴵTorenzik,32443433,84116283,R1,0,ADRL
210896556,Hired Killer,27053392,12086515,R3,0,ADRL
210266508,MarcusVinitius,26690311,2709124,R3,0,ADRL
208649830,ᶲMrFoolsDay,25855788,3442366,R2,0,ADRL
212579837,Linh huu,24722314,2281353,R1,0,ADRL
207592439,ˢᵛJoiSai,24195378,5402051,R1,0,ADRL
210006467,sSnoopy,22893342,1177299,R3,0,ADRL
210834666,harryg91,21167853,1214148,R2,0,ADRL
208183840,Third Option,21152222,18406397,R2,0,ADRL
210664315,lãotứk,20253958,3835796,R2,0,ADRL
209119164,ᶲEmmy Noether,44604422,8748968,R1,0,AL
208196246,ᴿᵂMoonMoon,40021969,61496554,R3,0,AL
208200545,ᴿᵂMama Wolf,39347118,47476552,R3,0,AL
208294913,ᴿᵂDoof,38141204,85962762,R3,0,AL
209367234,øPositron,37989468,41740771,R3,0,AL
208627398,Asimo884,36624882,22931389,R1,0,AL
207683036,ᴿᵂArtзmis,35000512,88815137,R1,0,AL
207692611,RW It is I,34330654,1230133,R3,0,AL
208196720,ᴿᵂGNV,33782062,25855686,R1,0,AL
210300701,Gund,33142976,36860438,R1,0,AL
209016436,メB L E S S,33030979,50931566,R1,0,AL
209862206,MCDragoon,32731077,63384661,R3,0,AL
208198024,ᴿᵂMaegun,32600968,60919360,R3,0,AL
207280922,ᴮᴺPemudA,31926066,62152311,R1,0,AL
209393079,ᴿᵂ Shakkah,31304071,19726076,R1,0,AL
209817323,ᴰᴷZORO GPS,31268978,41374916,R3,0,AL
209881330,ᴿᵂKittamer,30833884,20836387,R3,0,AL
210401319,bulldog,30768078,7662115,R1,0,AL
209965993,Мрисса,30435312,27971914,R3,0,AL
209904530,ᴿᵂ MarkDen,30085263,17718962,R3,0,AL
208200368,ᴿᵂAlphaWolf,30044899,61023544,R3,0,AL
209321542,Rambo ll,30036498,19881837,R1,0,AL
208680184,Kutilkatak,29875895,21447837,R1,0,AL
208211785,ᶲOmJiroᴿᵂ,29488423,54655618,R3,0,AL
210332264,ʳᶻKe1XrTh1zn,29473672,11691309,R1,0,AL
207562640,ᴿᵂEazyBuu,29242708,28438076,R3,0,AL
212491924,RedbudSupaFarm,28978961,3443739,R1,0,AL
210218341,DEMId 01,28666110,3390385,R2,0,AL
208198410,ᴿᵂintruglio,28520318,16361577,R3,0,AL
