Cluster,KD,Players,Active Players,Active %,KP,Deaths,DKP,T4 Kills,T5 Kills,T5+ Players (>50M),T5+ Active (>50M),T5+ Active %,T5+ KP,T5+ Deaths,T5+ T5 Kills,T5+ DKP,KP/Death,Deaths/Player
Fire,3914,187,92,49.2,2418938665,14564913,1660607995,115894172,62365867,26,22,84.62,1434316757,4721120,38060783,953789950,166.08,77887.0
Fire,3924,340,177,52.06,1662258626,22185926,1266375400,74939326,44654634,20,18,90.0,689329730,1777882,21544179,469061800,74.92,65253.0
Fire,3925,404,274,67.82,5785752559,49698947,4205112385,245839126,165261819,45,44,97.78,2954707053,9949017,84964930,1997473755,116.42,123017.0
Fire,3928,269,140,52.04,4635228114,28611757,3282290850,186180460,137684732,42,38,90.48,2966600415,9803265,90603993,2028461730,162.0,106363.0
Fire,TOTAL,1200,683,56.92,14502177964,115061543,10414386630,622853084,409967052,133,122,91.73,8044953955,26251284,235173885,5448787235,126.04,95885.0
Water,3905,371,176,47.44,1708392544,23451110,1270449055,95580043,37202516,26,26,100.0,794372870,2669873,18306807,512328835,72.85,63211.0
Water,3921,156,102,65.38,6670913239,23016220,4292715345,365690695,148939978,64,60,93.75,5595478749,13709957,127082988,3563886940,289.84,147540.0
Water,3926,274,138,50.36,2842119689,31571869,1990679995,171387153,54535036,20,19,95.0,1476189266,4010842,30467127,924604030,90.02,115226.0
Water,3927,294,133,45.24,4765724684,19503851,3113336730,256292762,109122294,64,58,90.62,3731937892,8569757,85476355,2372553715,244.35,66340.0
Water,TOTAL,1095,549,50.14,15987150156,97543050,10667181125,888950653,349799824,174,163,93.68,11597978777,28960429,261333277,7373373520,163.9,89080.0
Earth,3903,211,140,66.35,3798612505,18139075,2567860295,182638745,98218388,63,58,92.06,2862729019,8903394,74698765,1890916710,209.42,85967.0
Earth,3907,185,113,61.08,4169762993,14308839,2689744420,226507787,94274473,30,29,96.67,2767038698,5511863,65838719,1762608140,291.41,77345.0
Earth,3909,400,221,55.25,1851831347,35996743,1464835100,109454540,37172998,20,19,95.0,761913841,3841856,16433866,500684585,51.44,89992.0
Earth,3917,216,148,68.52,3289099283,22727265,2216772885,182807079,71697656,31,30,96.77,1574780780,5343608,38419443,1032121050,144.72,105219.0
Earth,TOTAL,1012,622,61.46,13109306128,91171922,8939212700,701408151,301363515,144,136,94.44,7966462338,23600721,195390793,5186330485,143.79,90091.0
Wind,3902,248,151,60.89,2966223289,28128035,2074313715,161282897,65774592,43,33,76.74,1855494834,5479444,42655134,1184065125,105.45,113419.0
Wind,3912,462,215,46.54,2375434280,35087770,1729105855,154560264,40361789,12,11,91.67,614499546,2075731,9103716,372448380,67.7,75948.0
Wind,3916,237,143,60.34,7357091127,30627713,4751588790,413370299,158564011,44,42,95.45,4526399695,10959947,102941084,2878851335,240.21,129231.0
Wind,3920,195,107,54.87,2065257701,16744128,1402959375,120930132,42057829,9,9,100.0,758629755,1487479,16274327,474913280,123.34,85867.0
Wind,TOTAL,1142,616,53.94,14764006397,110587646,9957967735,850143592,306758221,108,95,87.96,7755023830,20002601,170974261,4910278120,133.51,96837.0
