Camp,KD,Players >24M,Active >24M,Active >24M %,Inactive >24M,KP >24M,Deaths >24M,DKP >24M,T4 Kills >24M,T5 Kills >24M,KP/Death >24M,Deaths/Player >24M
Fire,3914,113,79,69.91,34,2410240462,13905170,1650541045,115364491,62311126,173.33,123055.0
Fire,3924,206,140,67.96,66,1607217101,16496003,1184128780,70792009,44347247,97.43,80078.0
Fire,3925,304,240,78.95,64,5733132658,47705992,4157515045,242325219,164588602,120.18,156928.0
Fire,3928,152,113,74.34,39,4606931820,26530043,3249463115,184137399,137565046,173.65,174540.0
Fire,TOTAL,775,572,73.81,203,14357522041,104637208,10241647985,612619118,408812021,137.21,135016.0
Water,3905,278,170,61.15,108,1702703104,22046528,1252805335,95312371,37051880,77.23,79304.0
Water,3921,113,95,84.07,18,6667681516,21967043,4280441040,365434613,148906503,303.53,194399.0
Water,3926,181,125,69.06,56,2828688428,29205727,1960810260,170386288,54454770,96.85,161358.0
Water,3927,169,121,71.6,48,4759620556,18123706,3097833595,256061559,109085916,262.62,107241.0
Water,TOTAL,741,511,68.96,230,15958693604,91343004,10591890230,887194831,349499069,174.71,123270.0
Earth,3903,174,134,77.01,40,3795638596,17421830,2559194535,182421989,98191086,217.87,100125.0
Earth,3907,117,100,85.47,17,4162917387,13854973,2681661915,226088965,94177824,300.46,118419.0
Earth,3909,289,200,69.2,89,1832973317,34100401,1435023145,108213567,36863420,53.75,117994.0
Earth,3917,167,136,81.44,31,3271961730,22302821,2203462770,181560542,71508790,146.71,133550.0
Earth,TOTAL,747,570,76.31,177,13063491030,87680025,8879342365,698285063,300741120,148.99,117376.0
Wind,3902,167,119,71.26,48,2950987990,24692996,2031515470,160484356,65477582,119.51,147862.0
Wind,3912,313,184,58.79,129,2341870584,31015805,1669945910,152206374,39917066,75.51,99092.0
Wind,3916,165,131,79.39,34,7346747410,29313442,4733838360,412668667,158490707,250.63,177657.0
Wind,3920,133,91,68.42,42,2050963867,16450198,1394179515,120100504,41945001,124.68,123686.0
Wind,TOTAL,778,525,67.48,253,14690569851,101472441,9829479255,845459901,305830356,144.77,130427.0
