Metric,Value
TOTAL PLAYERS,289
DKP < 1M,210

Rank,Governor ID,Name,End Power,End Troop Power,T4N,T4 Kills,T5 Kills,Deads,KP,DKP,Active
1,204717819,RitheR,58.40M,14.24M,3.56M,5.31M,4.19M,213.76K,136.91M,91.54M,True
2,207979381,24 X҉ MuguiBoy,66.98M,13.11M,3.28M,2.38M,2.34M,14.10K,70.55M,47.10M,True
3,208594000,Báolonf,57.19M,6.72M,1.68M,6.80M,326.34K,411.87K,75.20M,43.01M,True
4,203886048,24 X҉ CẩmVan,56.96M,8.77M,2.19M,1.20M,2.07M,118.80K,53.53M,38.33M,True
5,209844407,Nick40,61.82M,12.89M,3.22M,1.40M,1.65M,364,47.00M,31.75M,True
6,207787522,ᴿᵂAmidamaru,57.58M,10.20M,2.55M,2.27M,570.62K,191.09K,34.19M,21.84M,True
7,207861650,ˣˣOldboy,58.50M,9.33M,2.33M,694.22K,1.11M,0,29.06M,20.06M,True
8,204674520,VietSharks,66.43M,14.70M,3.68M,3.30M,214.98K,15.03K,37.30M,19.88M,True
9,207682276,ˣˣOIdboy,61.89M,7.87M,1.97M,3.39M,73.55K,130.20K,37.39M,19.34M,True
10,204480380,ȿȿ么SALADIN,48.66M,5.01M,1.25M,938.06K,836.25K,52.16K,26.11M,17.76M,True
11,209853749,24TùgGấu,32.02M,2.36M,590.34K,32.23K,198.91K,1.45M,4.30M,17.63M,True
12,204112961,ACôngNhânQN76,58.86M,19.66M,4.92M,667.04K,817.83K,0,23.03M,15.60M,True
13,204705520,Mì Xào Dưa,56.92M,7.78M,1.94M,804.86K,545.88K,168.90K,18.97M,13.90M,True
14,210944394,xThanhLong,20.76M,2.44M,609.02K,107.58K,0,1.32M,1.08M,13.69M,True
15,210133354,24 X҉  Zenith,50.28M,6.72M,1.68M,688.21K,589.92K,63.83K,18.69M,12.93M,True
16,207653866,24 X҉ Gấu,40.94M,6.21M,1.55M,539.18K,641.91K,25.54K,18.27M,12.58M,True
17,208202264,KrazyBus,35.47M,3.06M,764.17K,74.93K,63.46K,1.07M,2.02M,12.02M,True
18,207702281,24 X҉   Leoシ,47.44M,4.13M,1.03M,615.98K,512.92K,121.73K,16.52M,11.99M,True
19,209848443,ᴿᵂPalo4keee,27.53M,0,0,111.43K,15.67K,1.12M,1.43M,11.94M,True
20,210372799,24 CHEZCKO,29.38M,2.44M,611.15K,34.87K,0,1.18M,348.70K,11.94M,True
21,209333993,jaims cat,36.35M,646.08K,161.52K,85.21K,50.91K,1.07M,1.87M,11.85M,True
22,203693698,ᴰʷ Vino limo,54.39M,8.24M,2.06M,553.97K,502.13K,123.21K,15.58M,11.53M,True
23,209750782,JoeLaTabaz,40.54M,7.33M,1.83M,276.11K,507.52K,250.01K,12.91M,11.49M,True
24,210051564,ᴰᴷMatri214,21.39M,1.87M,467.68K,10.45K,36.41K,1.01M,832.68K,10.65M,True
25,209817323,ᴰᴷZORO GPS,34.58M,5.53M,1.38M,390.20K,449.15K,148.69K,12.89M,10.18M,True
26,208179191,ᴿw dumbywumby,32.71M,4.23M,1.06M,1.41M,173.11K,9.58K,17.64M,9.76M,True
27,210229272,Kandamiala,21.69M,0,0,933,44.83K,901.54K,905.83K,9.69M,True
