Fighter Rank,Governor ID,Name,Power,Troop Power,Deads,KP,T4 Kills,T5 Kills,DKP,Performance Score,DKP / 1M Power,T4+T5 / 1M Power,Deads / 1M Power,Fighter Index,Classification
1,204705520,Mì Xào Dưa,56.96M,7.80M,2.46M,365.58M,15.66M,10.36M,258.36M,99.23,4.54M,456.9K,43.2K,99.03,Core Fighter
2,205864876,BATYA,53.62M,8.24M,1.19M,205.41M,7.66M,6.44M,146.72M,96.23,2.74M,262.8K,22.2K,96.32,Core Fighter
3,208594000,Báolonf,58.08M,7.59M,682.6K,352.95M,21.48M,6.79M,216.10M,97.04,3.72M,486.7K,11.8K,96.07,Core Fighter
4,207702281,24 X҉   Leoシ,48.24M,4.89M,1.50M,156.02M,8.76M,3.15M,106.02M,95.51,2.20M,246.9K,31.0K,95.87,Core Fighter
5,210133354,24 X҉  Zenith,50.28M,6.63M,493.0K,293.61M,13.69M,7.64M,188.05M,95.83,3.74M,424.4K,9.8K,95.1,Core Fighter
6,208208516,ᴿᵂBando,34.01M,5.03M,675.0K,138.93M,8.97M,2.07M,82.68M,93.32,2.43M,324.8K,19.8K,94.98,Core Fighter
7,207979381,24 X҉ MuguiBoy,67.02M,13.16M,645.1K,290.80M,15.95M,6.54M,184.27M,96.07,2.75M,335.6K,9.6K,94.7,Core Fighter
8,204717819,RitheR,60.42M,15.97M,277.8K,436.37M,18.66M,12.40M,282.06M,95.75,4.67M,514.0K,4.6K,94.62,Core Fighter
9,207787522,ᴿᵂAmidamaru,60.49M,13.11M,394.9K,264.45M,12.59M,6.77M,168.44M,94.53,2.78M,320.0K,6.5K,93.24,Core Fighter
10,209844407,Nick40,63.93M,14.89M,127.6K,401.93M,13.82M,13.13M,267.40M,94.74,4.18M,421.7K,2.0K,92.91,Core Fighter
11,204480380,SALAHUDIN Ayyub,49.82M,6.01M,459.9K,161.65M,6.55M,4.61M,106.45M,93.2,2.14M,223.9K,9.2K,92.19,Core Fighter
12,208179191,ᴿw dumbywumby,34.41M,5.49M,463.0K,106.65M,6.59M,1.78M,64.34M,90.28,1.87M,243.4K,13.5K,92.02,Core Fighter
13,207317874,24 X҉ MONGOL,32.61M,3.77M,626.9K,89.15M,5.52M,1.44M,55.42M,89.6,1.70M,213.3K,19.2K,91.54,Core Fighter
14,207653866,24 X҉ Gấu,42.41M,7.38M,460.4K,114.54M,6.22M,2.57M,74.29M,91.21,1.75M,207.3K,10.9K,91.3,Core Fighter
15,204112961,ACôngNhânQN76,62.69M,23.49M,56.5K,264.05M,12.77M,6.79M,166.30M,92.02,2.65M,312.0K,901,90.65,Core Fighter
16,209750782,JoeLaTabaz,41.31M,8.00M,486.6K,99.30M,3.28M,3.32M,71.12M,90.65,1.72M,159.9K,11.8K,90.57,Core Fighter
17,203886048,24 X҉ CẩmVan,58.53M,10.33M,205.3K,184.13M,5.59M,5.98M,119.62M,91.86,2.04M,197.5K,3.5K,90.28,Core Fighter
18,209817323,ᴰᴷZORO GPS,36.59M,7.48M,802.0K,64.16M,1.71M,2.35M,51.83M,89.07,1.42M,111.1K,21.9K,90.12,Core Fighter
19,209616823,ᴹᴰXrUsT,33.53M,3.85M,1.18M,52.23M,2.44M,1.27M,43.02M,88.06,1.28M,110.7K,35.1K,89.96,Core Fighter
20,209600107,LeONn,39.37M,5.05M,411.0K,94.61M,2.85M,3.31M,67.94M,89.88,1.73M,156.3K,10.4K,89.92,Core Fighter
21,207682276,ˣˣOIdboy,62.75M,8.73M,669.8K,136.09M,11.96M,547.4K,74.73M,91.42,1.19M,199.4K,10.7K,89.92,Core Fighter
22,208718417,TheinOo,33.92M,4.23M,763.5K,57.76M,2.47M,1.63M,44.42M,88.38,1.31M,120.9K,22.5K,89.76,Core Fighter
23,207118372,DHieuメLily,35.46M,6.78M,129.2K,118.82M,10.20M,767.7K,63.82M,87.77,1.80M,309.4K,3.6K,88.87,Core Fighter
24,209645960,ZARIA,33.33M,5.37M,369.6K,73.95M,3.51M,1.94M,50.33M,87.57,1.51M,163.6K,11.1K,88.34,Core Fighter
25,209876388,Şahinşahz,24.92M,3.10M,658.9K,54.53M,4.88M,149.9K,33.25M,82.63,1.33M,201.9K,26.4K,88.22,Core Fighter
26,209534514,24 X҉ Ney,32.73M,4.90M,206.2K,88.69M,4.13M,2.10M,54.20M,87.41,1.66M,190.3K,6.3K,87.25,Core Fighter
27,209530219,24 X҉ SóiGià,39.00M,4.88M,679.8K,55.25M,1.94M,1.77M,43.06M,87.49,1.10M,95.2K,17.4K,86.96,Core Fighter
28,203693698,ᴰʷ Vino limo,55.92M,9.65M,521.7K,85.23M,3.48M,2.52M,60.44M,89.51,1.08M,107.3K,9.3K,86.64,Core Fighter
29,207108248,HOY PINOY AKOヮ,26.37M,2.65M,987.0K,33.24M,1.77M,775.7K,30.36M,82.71,1.15M,96.6K,37.4K,86.64,Core Fighter
30,209527597,24 X҉ Klee,33.15M,6.33M,813.3K,42.72M,1.89M,1.16M,35.00M,84.94,1.06M,92.0K,24.5K,86.48,Core Fighter
31,204674520,VietSharks,66.81M,15.07M,68.2K,134.07M,9.15M,2.12M,78.23M,89.72,1.17M,168.6K,1.0K,86.19,Core Fighter
32,207279889,24 X҉ DUMBLDOR,44.50M,2.99M,642.9K,56.98M,4.24M,686.9K,37.95M,85.75,852.9K,110.8K,14.4K,85.18,Core Fighter
33,207774760,KhôiLangThang,31.66M,2.06M,1.67M,29.12M,1.64M,422.6K,31.21M,82.87,985.7K,65.1K,52.7K,85.14,Core Fighter
34,210376336,24 X҉ Serelis,25.32M,2.36M,1.29M,25.69M,979.2K,794.9K,29.69M,81.05,1.17M,70.1K,50.8K,84.86,Strong Fighter
35,210482880,24 X҉  Slayer,34.74M,3.71M,730.2K,40.95M,1.66M,1.21M,33.80M,84.09,973.1K,82.7K,21.0K,84.74,Strong Fighter
36,207576224,24 X҉ Viona,40.96M,4.31M,748.3K,43.87M,1.49M,1.45M,36.66M,84.82,895.1K,71.7K,18.3K,84.37,Strong Fighter
37,209569488,24 X҉ BaByHulk,54.03M,5.54M,682.9K,58.36M,3.48M,1.14M,41.36M,87.61,765.5K,85.6K,12.6K,84.09,Strong Fighter
38,211329312,石木,29.71M,4.85M,617.7K,37.46M,1.10M,1.32M,31.52M,81.98,1.06M,81.6K,20.8K,83.93,Strong Fighter
39,209779749,ᴰᴷMajima,28.72M,3.49M,838.1K,31.92M,1.11M,1.04M,29.53M,81.21,1.03M,75.0K,29.2K,83.44,Strong Fighter
40,210431963,24 X҉ vSharks,46.18M,7.87M,294.4K,65.95M,5.74M,426.3K,38.04M,84.13,823.8K,133.6K,6.4K,82.91,Strong Fighter
41,207317722,iryshka,43.79M,6.67M,384.3K,53.85M,1.58M,1.76M,38.06M,84.37,869.3K,76.1K,8.8K,82.63,Strong Fighter
42,207861650,ˣˣOldboy,58.62M,9.34M,0,116.33M,4.09M,3.77M,77.03M,86.3,1.31M,134.1K,0,82.37,Strong Fighter
43,218982356,Lamnesik,30.85M,3.58M,815.4K,27.14M,1.55M,472.8K,23.00M,79.55,745.8K,65.6K,26.4K,80.69,Strong Fighter
44,209435533,hiền hihi,37.98M,6.98M,283.8K,44.34M,1.32M,1.56M,32.80M,81.42,863.6K,75.7K,7.5K,80.36,Strong Fighter
45,209875786,24 X҉  Malrin,41.85M,7.81M,118.3K,51.48M,2.15M,1.50M,34.42M,82.02,822.4K,87.2K,2.8K,79.96,Strong Fighter
46,208680184,Kutilkatak,24.42M,91.7K,2.07M,8.81M,253.1K,314.0K,26.72M,74.7,1.09M,23.2K,85.0K,79.96,Strong Fighter
47,210049658,24 X҉ Lionhart,45.00M,3.38M,697.5K,35.51M,1.57M,982.5K,29.57M,81.86,657.1K,56.8K,15.5K,79.64,Strong Fighter
48,210371729,24 X҉ xANGELx,28.38M,3.31M,245.9K,34.37M,2.27M,534.0K,21.80M,77.33,768.3K,98.7K,8.7K,79.27,Strong Fighter
49,210417562,24 X҉   Redbud,36.32M,7.11M,777.1K,28.32M,2.41M,209.1K,22.96M,78.91,632.3K,72.2K,21.4K,78.99,Strong Fighter
50,208145473,Vicentuss,32.58M,4.52M,361.7K,33.00M,2.83M,234.8K,21.29M,76.52,653.7K,94.1K,11.1K,78.58,Strong Fighter
51,210401075,VoidAlbion,22.95M,2.41M,1.09M,12.51M,1.00M,117.5K,17.71M,72.11,771.8K,48.9K,47.6K,78.18,Strong Fighter
52,210262314,ᴮᴺGLE400,62.77M,13.52M,258.1K,55.30M,1.46M,2.04M,40.41M,83.97,643.8K,55.7K,4.1K,77.94,Strong Fighter
53,210142805,Olly25,27.64M,2.75M,1.45M,10.23M,409.8K,306.4K,21.11M,73.85,764.0K,25.9K,52.4K,77.81,Strong Fighter
54,210441175,gaberner,24.14M,2.90M,1.49M,8.43M,458.2K,187.6K,20.03M,72.15,830.0K,26.8K,61.8K,77.73,Strong Fighter
55,210399713,Izzy the Great,41.11M,3.87M,1.07M,23.59M,1.30M,525.9K,25.12M,79.51,611.2K,44.4K,26.1K,77.49,Strong Fighter
56,210438552,24 X҉ PPPhúc,28.83M,4.40M,376.1K,25.24M,772.7K,849.6K,20.37M,74.9,706.6K,56.3K,13.0K,77.41,Strong Fighter
57,210346486,todays 12,62.95M,15.35M,80.4K,57.87M,1.47M,2.16M,40.53M,83.68,643.9K,57.6K,1.3K,77.25,Strong Fighter
58,209324904,TaonguoiVietNam,48.00M,5.18M,998.3K,28.52M,940.0K,956.0K,29.02M,80.61,604.6K,39.5K,20.8K,76.76,Strong Fighter
59,209853749,24TùgGấu,32.02M,2.36M,1.54M,10.09M,326.1K,341.5K,22.12M,74.7,690.8K,20.8K,48.0K,76.44,Strong Fighter
60,210834790,Huyメ,27.23M,4.36M,237.9K,27.11M,1.90M,374.3K,17.50M,73.28,642.7K,83.6K,8.7K,75.67,Strong Fighter
61,210066323,Dâu tây cny,30.19M,6.89M,397.1K,26.82M,1.73M,313.4K,17.32M,73.52,573.5K,67.6K,13.2K,74.94,Strong Fighter
62,208559123,Stflrs Mom,59.21M,10.96M,114.3K,54.25M,3.24M,962.8K,31.76M,81.3,536.5K,70.9K,1.9K,74.57,Strong Fighter
63,207428704,ᶫʳБьёрн,32.44M,4.47M,67.9K,36.18M,3.38M,115.4K,19.31M,73.32,595.3K,107.8K,2.1K,74.17,Strong Fighter
64,209838770,24 X҉  ReDemon,40.99M,3.40M,971.1K,16.18M,579.9K,517.5K,20.37M,75.47,497.1K,26.8K,23.7K,73.81,Strong Fighter
65,209819561,MEDS21,31.60M,4.26M,553.6K,17.97M,1.04M,377.9K,16.40M,71.78,519.2K,44.9K,17.5K,72.19,Strong Fighter
66,210354561,ᴸnichii,28.52M,3.94M,348.4K,21.24M,1.54M,286.4K,15.49M,70.36,542.9K,64.1K,12.2K,72.11,Strong Fighter
67,210434155,Secte,31.72M,4.26M,1.10M,10.69M,908.5K,74.7K,16.67M,69.76,525.6K,31.0K,34.7K,71.98,Strong Fighter
68,209333993,jaims cat,37.68M,1.86M,1.61M,8.17M,312.8K,252.0K,21.47M,72.79,569.8K,15.0K,42.8K,71.62,Strong Fighter
69,209323093,THE END rog,25.87M,1.74M,342.8K,17.34M,778.5K,477.6K,14.48M,68.62,559.9K,48.6K,13.3K,71.21,Strong Fighter
70,210531865,Cyntra City,26.08M,2.60M,1.36M,5.21M,240.7K,140.0K,16.86M,66.92,646.5K,14.6K,52.0K,71.01,Strong Fighter
71,203945925,24 X҉ FramAce,39.84M,5.31M,309.7K,25.84M,1.04M,671.6K,18.36M,73.89,460.8K,42.9K,7.8K,70.61,Strong Fighter
72,207034573,24 X҉ HànLão,63.27M,12.46M,1.01M,19.67M,1.13M,419.5K,22.00M,77.77,347.8K,24.4K,15.9K,70.57,Strong Fighter
73,210412615,methusala,31.96M,5.37M,414.4K,18.11M,548.0K,631.5K,16.36M,71.01,511.8K,36.9K,13.0K,70.36,Strong Fighter
74,209043926,TOMBOYY,36.32M,5.61M,170.8K,24.98M,994.7K,749.8K,17.93M,72.55,493.7K,48.0K,4.7K,70.2,Strong Fighter
75,208195504,ᴿᵂ Zytue,30.22M,2.74M,1.56M,4.99M,198.0K,150.2K,18.89M,68.58,625.1K,11.5K,51.8K,70.0,Strong Fighter
76,210051564,ᴰᴷMatri214,21.39M,1.87M,1.04M,5.28M,352.5K,66.1K,13.14M,62.75,614.3K,19.6K,48.6K,69.55,Situational
77,207012251,MeowMeowMeowww,38.68M,3.27M,882.4K,12.68M,610.7K,327.5K,16.79M,71.38,434.0K,24.3K,22.8K,69.47,Situational
78,210394588,24 X҉ Tường,25.07M,2.41M,388.9K,14.25M,1.18M,122.6K,11.62M,65.02,463.7K,51.9K,15.5K,68.99,Situational
79,209743364,Secteryum,28.90M,3.68M,1.17M,5.95M,464.7K,64.7K,15.02M,66.07,519.8K,18.3K,40.6K,68.5,Situational
80,209848443,ᴿᵂPalo4keee,29.87M,2.32M,1.50M,4.11M,244.2K,83.1K,17.46M,66.32,584.4K,11.0K,50.2K,68.3,Situational
81,209788785,24 X҉ NVTboi,36.10M,2.88M,485.0K,15.66M,724.0K,410.4K,14.63M,69.27,405.1K,31.4K,13.4K,67.94,Situational
82,210913126,ᴿᵂKingOfWar,23.89M,3.44M,1.07M,4.76M,271.1K,97.2K,13.56M,63.0,567.6K,15.4K,45.0K,67.73,Situational
83,207069617,OdinRagnarok,25.06M,2.85M,761.8K,6.96M,536.9K,79.5K,11.49M,62.87,458.7K,24.6K,30.4K,67.21,Situational
84,207933613,24 X҉ Sawakita,30.46M,7.15M,300.3K,15.80M,481.5K,549.1K,13.65M,67.33,448.1K,33.8K,9.9K,67.13,Situational
85,207786640,AMADIOHA,28.22M,2.10M,285.8K,15.39M,1.11M,214.4K,11.62M,65.3,411.8K,46.9K,10.1K,66.92,Situational
86,209838834,Teung,31.43M,4.79M,721.8K,9.10M,455.1K,227.4K,12.90M,65.34,410.6K,21.7K,23.0K,66.68,Situational
87,205078912,24 X҉ ACE,47.70M,4.77M,12.9K,28.31M,1.01M,909.1K,18.83M,72.31,394.7K,40.3K,271,66.28,Situational
88,209302826,1Vorobey1,41.62M,5.60M,69.3K,25.75M,1.26M,602.3K,16.04M,70.36,385.4K,44.8K,1.7K,66.15,Situational
89,209320692,ᴱᶻLelya Fm,31.16M,1.79M,1.11M,5.27M,179.4K,173.5K,14.61M,64.78,469.0K,11.3K,35.7K,65.34,Situational
90,210293112,24 X҉ Prince,42.56M,4.38M,363.6K,19.17M,1.27M,234.9K,13.51M,68.06,317.5K,35.4K,8.5K,65.02,Situational
91,210249125,Gopq,24.97M,1.15M,1.50M,1.89M,46.7K,52.5K,16.01M,59.72,641.1K,4.0K,60.0K,64.05,Situational
92,210944394,xThanhLong,20.76M,2.44M,1.32M,1.08M,107.6K,0,13.69M,54.84,659.3K,5.2K,63.3K,62.79,Situational
93,209345131,ᴰᴷCamaron,28.49M,2.67M,476.4K,9.36M,485.4K,155.7K,9.53M,60.89,334.4K,22.5K,16.7K,62.79,Situational
94,210445136,Xàmlông,38.83M,5.91M,360.8K,12.46M,779.3K,233.2K,11.00M,63.56,283.4K,26.1K,9.3K,62.55,Situational
95,210372799,CHEZCKO,29.94M,2.67M,1.31M,2.51M,168.7K,35.7K,14.48M,60.16,483.8K,6.8K,43.8K,62.15,Situational
96,206969476,24 X҉ Xatarê,36.68M,5.58M,547.8K,8.70M,741.9K,63.3K,10.14M,60.61,276.3K,21.9K,14.9K,61.3,Situational
97,208973298,24 X҉ AndiUmar,33.32M,6.47M,219.7K,13.32M,363.9K,417.4K,10.28M,61.54,308.5K,23.5K,6.6K,61.26,Situational
98,210422456,Mảngo,25.74M,3.35M,558.7K,5.29M,224.9K,152.3K,9.00M,57.37,349.4K,14.6K,21.7K,60.89,Situational
99,208580783,24X҉Сиэль,29.43M,3.25M,575.5K,6.53M,288.4K,181.3K,9.92M,59.64,337.0K,16.0K,19.6K,60.81,Situational
100,208585387,Топoль,45.76M,7.15M,67.1K,21.56M,1.89M,82.0K,11.38M,64.05,248.6K,43.2K,1.5K,60.77,Situational
101,210229272,Kandamiala,24.46M,2.35M,915.4K,2.99M,118.9K,89.8K,11.10M,57.33,453.7K,8.5K,37.4K,60.73,Situational
102,210377379,Arhitet lll SL,20.51M,1.84M,324.3K,9.32M,501.0K,8.0K,5.87M,53.48,286.0K,24.8K,15.8K,59.07,Situational
103,209806538,ANNY20,22.11M,786.1K,1.29M,853.2K,4.5K,40.4K,13.50M,54.53,610.7K,2.0K,58.2K,58.95,Situational
104,209996542,ceu A team,20.20M,2.34M,616.0K,3.13M,240.3K,36.5K,7.91M,52.59,391.5K,13.7K,30.5K,58.74,Situational
105,209072763,ᶻᵒDungori,26.26M,2.07M,402.5K,6.44M,376.3K,105.9K,7.50M,56.28,285.5K,18.4K,15.3K,58.7,Situational
106,208684612,ᶲJW4101,27.74M,2.75M,389.4K,6.33M,350.3K,141.0K,7.76M,56.4,279.7K,17.7K,14.0K,58.38,Situational
