KP Rank,Governor ID,Governor Name,Power Delta,Troop Power Delta,Deaths Delta,Kill Points Delta,T1 Kills Delta,T2 Kills Delta,T3 Kills Delta,T4 Kills Delta,T5 Kills Delta,DKP Delta,Contribution Score
1,204705520,Pea 乄CG Nga,-1794136.0,-2441633.0,1229119.0,179125067.0,6014907.0,39084.0,4457.0,7991865.0,4895372.0,125681095.0,3.9942028985507245
2,204717819,RitheR,5637708.0,4726092.0,16.0,115324555.0,14724.0,20452.0,10814.0,4562457.0,3480644.0,75022105.0,3.692753623188406
3,210133354,24 X҉  Zenith,3028447.0,895628.0,77166.0,96112583.0,27258.0,2381.0,3490.0,4453653.0,2577594.0,61703835.0,3.8318840579710143
4,204112961,ACôngNhânQN76,857699.0,638200.0,17521.0,86569510.0,0.0,0.0,0.0,2805977.0,2925487.0,58087400.0,3.730434782608696
5,208594000,Báolonf,431906.0,-161442.0,31265.0,67445091.0,96456.0,45.0,0.0,1744537.0,2499017.0,46520590.0,3.747826086956522
6,209600107,LeONn,-200596.0,-1307748.0,354590.0,52380580.0,1.0,0.0,0.0,1483772.0,1877143.0,39121905.0,3.9014492753623187
7,204480380,ȿȿ么SALADIN,-1237065.0,-2269768.0,126880.0,45697665.0,3.0,0.0,41.0,1278602.0,1645574.0,32345420.0,3.831884057971015
8,203886048,24 X҉ CẩmVan,3086210.0,2983910.0,33889.0,43000170.0,0.0,0.0,0.0,921835.0,1689091.0,30284430.0,3.736231884057971
9,208208516,ᴿᵂBando,53356.0,-283584.0,139185.0,40878107.0,149862.0,1525.0,6.0,2839104.0,622701.0,24927885.0,3.7942028985507243
10,209530219,24 X҉ SóiGià,769626.0,-12477.0,487538.0,39912439.0,312.0,0.0,24114.0,805012.0,1588290.0,32724790.0,3.8927536231884057
11,207702281,24 X҉   Leoシ,1053294.0,-1068963.0,261213.0,37644129.0,41584.0,2756.0,5820.0,2157296.0,801703.0,25424155.0,3.846376811594203
12,210431963,24 X҉ vSharks,2170165.0,-214228.0,199415.0,33073070.0,0.0,0.0,0.0,3032571.0,137368.0,19217525.0,3.701449275362319
13,209844407,Nick40,3652832.0,2962396.0,75015.0,31782457.0,155253.0,32628.0,68330.0,1094535.0,1023374.0,21573435.0,3.756521739130435
14,207653866,24 X҉ Gấu,143793.0,-581368.0,153934.0,31700466.0,17059.0,5748.0,197.0,2081543.0,543467.0,20099060.0,3.7710144927536238
15,208179191,ᴿw dumbywumby,-1284675.0,-1699404.0,151765.0,30642988.0,230339.0,4143.0,5406.0,2078873.0,488914.0,19245725.0,3.7507246376811594
16,207317874,24 X҉ MONGOL,-887982.0,-1457136.0,126418.0,28109503.0,21634.0,4.0,2.0,1988858.0,410829.0,17370905.0,3.7130434782608694
17,207118372,DHieuメLily,1214031.0,-642944.0,63229.0,27386209.0,76664.0,72443.0,270220.0,2105149.0,254681.0,14978250.0,3.6231884057971016
18,210371729,24 X҉ xANGELx,1676975.0,333048.0,114816.0,25203899.0,14.0,0.0,254719.0,1902126.0,258188.0,14531610.0,3.660869565217392
19,207787522,ᴿᵂAmidamaru,769630.0,530180.0,0.0,24773020.0,0.0,0.0,0.0,1408918.0,534192.0,15057470.0,3.1768115942028983
20,209534514,24 X҉ Ney,-225268.0,-381573.0,32929.0,24506050.0,86169.0,39218.0,160.0,1131110.0,654932.0,15808820.0,3.6463768115942026
21,208559123,Stflrs Mom,237771.0,-690026.0,0.0,22748560.0,0.0,102.0,49.0,1350726.0,462045.0,13684305.0,3.139130434782609
22,209817323,ᴰᴷZORO GPS,1060513.0,-84712.0,216807.0,19815990.0,0.0,0.0,5.0,211063.0,885267.0,16502390.0,3.7797101449275363
23,207979381,24 X҉ MuguiBoy,5189886.0,5001086.0,117029.0,18792257.0,25.0,0.0,8.0,598112.0,640555.0,13769175.0,3.7043478260869565
