Rank,ID,Name,DKP,KP,Power,Troop Power,T4 Kills,T5 Kills,Deads
1,204717819,RitheR,282.06M,57.41M,58.4M,14.24M,51.62M,16.27M,869.13M
2,209844407,Nick40,265.1M,22.3M,61.82M,12.89M,27.12M,13.81M,561.47M
3,204705520,Mì Xào Dưa,242.41M,59.68M,56.92M,7.78M,68.06M,28.3M,1.27B
4,208594000,Báolonf,216.1M,33.46M,57.19M,6.72M,84.71M,11.69M,1.15B
5,210133354,24 X҉  Zenith,188.05M,1.06M,50.28M,6.72M,24.48M,10.59M,463.21M
6,207787522,ᴿᵂAmidamaru,161.11M,3M,57.58M,10.2M,48.22M,8.91M,669.77M
7,205864876,BATYA,138.85M,655.88K,53.38M,8.01M,26.62M,14.78M,564.19M
8,204112961,ACôngNhânQN76,119.6M,1.15M,58.86M,19.66M,35.31M,9.31M,544.09M
9,203886048,24 X҉ CẩmVan,115.36M,42.75M,56.96M,8.77M,42.17M,8.34M,660.15M
10,207702281,24 X҉   Leoシ,104.38M,23.97M,47.44M,4.13M,44.07M,4.5M,583.06M
11,204480380,ȿȿ么SALADIN,99.14M,47.79M,48.66M,5.01M,23.52M,8.35M,425.98M
12,208208516,ᴿᵂBando,80.13M,38.56M,32.6M,3.77M,34.63M,3.96M,462.61M
13,207861650,ˣˣOldboy,77.03M,24.14M,58.5M,9.33M,66.24M,11.53M,995.32M
14,207682276,ˣˣOIdboy,74.73M,123.35M,61.89M,7.87M,47.13M,5.39M,719.27M
15,207653866,24 X҉ Gấu,74.29M,5.66M,40.94M,6.21M,17M,4.17M,263.81M
16,209750782,JoeLaTabaz,71.12M,12.47M,40.54M,7.33M,10.8M,5.68M,225.67M
17,209600107,LeONn,67.94M,1.91M,38.45M,4.13M,10.38M,5.52M,216.87M
18,204674520,VietSharks,67.79M,8.31M,66.43M,14.7M,29.29M,7.4M,463.16M
19,208179191,ᴿw dumbywumby,63.19M,25.85M,32.71M,4.23M,20.27M,2.57M,271.81M
20,203693698,ᴰʷ Vino limo,57.51M,11.04M,54.39M,8.24M,31.86M,5.47M,453.71M
21,207118372,Mamaboy123,53.47M,27.31M,34.75M,6.11M,29.94M,1.68M,380.08M
22,207317874,24 X҉ MONGOL,52.14M,4M,32.12M,3.28M,21.7M,1.9M,263.06M
23,209817323,ᴰᴷZORO GPS,51.27M,1.58M,34.58M,5.53M,8.96M,2.75M,169.9M
24,209645960,ZARIA,50.33M,4.17M,32.7M,4.81M,14.35M,3.53M,226.53M
25,208718417,TheinOo,44.42M,3.26M,32.94M,3.3M,7.19M,2.17M,124.5M
26,209530219,24 X҉ SóiGià,43.06M,32.38M,38.37M,4.78M,24.13M,3.25M,332.08M
27,209616823,ᴹᴰXrUsT,42.46M,897.39K,31.37M,1.97M,9.95M,2.95M,160.38M
28,209534514,24 X҉ Ney,41.55M,18.9M,33M,5.17M,22.34M,2.73M,313.31M
29,209569488,24 X҉ BaByHulk,41.36M,1.41M,50.9M,2.43M,13.53M,1.85M,221.39M
30,210262314,ᴮᴺGLE400,39.72M,1M,60.86M,11.64M,4.71M,2.56M,100.2M
31,210431963,24 X҉ vSharks,38.04M,3.43M,45.55M,7.25M,18.11M,594.32K,205.2M
32,207279889,24 X҉ DUMBLDOR,37.87M,3.98M,43.58M,2.09M,14.13M,814.27K,183.38M
33,210346486,todays 12,37.14M,411.2K,62.41M,14.83M,7.37M,3.35M,141.3M
34,207576224,24 X҉ Viona,36.66M,1.13M,40.7M,4.07M,10.63M,2.81M,168.23M
35,209875786,24 X҉  Malrin,34.42M,1.63M,40.51M,6.47M,9.51M,2.2M,145.31M
36,210482880,24 X҉  Slayer,33.8M,396.75K,34.64M,3.61M,6.09M,2.86M,123.74M
37,209435533,hiền hihi,32.8M,30.51M,36.96M,6.01M,10.5M,3.6M,185.49M
38,209527597,24 X҉ Klee,31.73M,785.29K,33.36M,6.55M,11.77M,1.98M,192.4M
39,207317722,iryshka,31.72M,17.73M,42.84M,5.81M,20.4M,2.65M,273.08M
40,211329312,石木,31.52M,169.99K,28.72M,3.87M,2.51M,1.71M,60.19M
41,208559123,Stflrs Mom,30.7M,1.38M,57.44M,9.19M,39.14M,4.66M,499.14M
42,207108248,HOY PINOY AKOヮ,30.36M,461.24K,25.77M,2.05M,8.87M,2.09M,132.72M
43,210049658,24 X҉ Lionhart,29.57M,11.85M,43M,1.43M,10.61M,2.55M,162.64M
44,209779749,ᴰᴷMajima,29.53M,716.48K,28.55M,3.34M,4.71M,1.45M,79.73M
45,209324904,TaonguoiVietNam,29.02M,8.59M,44.73M,2.24M,2.8M,1.31M,60.98M
46,207774760,KhôiLangThang,26.31M,4.61M,31.49M,2.03M,14.15M,1.05M,190.74M
47,210399713,Izzy the Great,25.12M,827.32K,38.79M,3.77M,8.86M,593.93K,133.04M
48,218982356,Lamnesik,23M,524.34K,30.76M,3.5M,3.3M,572.48K,47M
49,209853749,24TùgGấu,22.12M,1.48M,32.02M,2.36M,9.68M,949.95K,124.72M
50,207034573,24 X҉ HànLão,22M,6.38M,63.11M,12.3M,74.11M,11.98M,997.2M
51,210371729,24 X҉ xANGELx,21.8M,1.05M,27.69M,2.62M,14.39M,831.25K,187.86M
52,210417562,24 X҉   Redbud,21.7M,690.61K,35.44M,6.78M,6.68M,315.74K,76.25M
53,209333993,jaims cat,21.47M,1.15M,36.35M,646.08K,3.28M,401.28K,46.81M
54,208145473,Vicentuss,21.29M,435.54K,32.51M,4.46M,5.33M,362.36K,69.95M
