Rank,ID,Name,DKP,KP,Power,Troop Power,T4N,T4 Kills,T5 Kills,Deads
1,204717819,RitheR,91.54M,136.91M,58.4M,14.24M,,5.31M,4.19M,213.76K
2,208594000,Báolonf,43.01M,75.2M,57.19M,6.72M,,6.8M,326.34K,411.87K
3,203886048,24 X҉ CẩmVan,38.33M,53.53M,56.96M,8.77M,,1.2M,2.07M,118.8K
4,209844407,Nick40,31.75M,47M,61.82M,12.89M,,1.4M,1.65M,364
5,207787522,ᴿᵂAmidamaru,21.84M,34.19M,57.58M,10.2M,,2.27M,570.62K,191.09K
6,207861650,ˣˣOldboy,20.06M,29.06M,58.5M,9.33M,,694.22K,1.11M,0
7,204674520,VietSharks,19.88M,37.3M,66.43M,14.7M,,3.3M,214.98K,15.03K
8,207682276,ˣˣOIdboy,19.34M,37.39M,61.89M,7.87M,,3.39M,73.55K,130.2K
9,204480380,ȿȿ么SALADIN,17.76M,26.11M,48.66M,5.01M,,938.06K,836.25K,52.16K
10,209853749,24TùgGấu,17.63M,4.3M,32.02M,2.36M,590.34K,32.23K,198.91K,1.45M
11,204112961,ACôngNhânQN76,15.6M,23.03M,58.86M,19.66M,,667.04K,817.83K,0
12,204705520,Mì Xào Dưa,13.9M,18.97M,56.92M,7.78M,,804.86K,545.88K,168.9K
13,210133354,24 X҉  Zenith,12.93M,18.69M,50.28M,6.72M,,688.21K,589.92K,63.83K
14,207653866,24 X҉ Gấu,12.58M,18.27M,40.94M,6.21M,1.55M,539.18K,641.91K,25.54K
15,208202264,KrazyBus,12.02M,2.02M,35.47M,3.06M,764.17K,74.93K,63.46K,1.07M
16,207702281,24 X҉   Leoシ,11.99M,16.52M,47.44M,4.13M,,615.98K,512.92K,121.73K
17,209848443,ᴿᵂPalo4keee,11.94M,1.43M,27.53M,0,0,111.43K,15.67K,1.12M
18,210372799,24 CHEZCKO,11.94M,348.7K,29.38M,2.44M,611.15K,34.87K,0,1.18M
19,209333993,jaims cat,11.85M,1.87M,36.35M,646.08K,161.52K,85.21K,50.91K,1.07M
20,203693698,ᴰʷ Vino limo,11.53M,15.58M,54.39M,8.24M,,553.97K,502.13K,123.21K
21,209750782,JoeLaTabaz,11.49M,12.91M,40.54M,7.33M,1.83M,276.11K,507.52K,250.01K
22,209817323,ᴰᴷZORO GPS,10.18M,12.89M,34.58M,5.53M,1.38M,390.2K,449.15K,148.69K
23,208179191,ᴿw dumbywumby,9.76M,17.64M,32.71M,4.23M,1.06M,1.41M,173.11K,9.58K
24,210049658,24 X҉ Lionhart,7.89M,9.23M,43M,1.43M,356.7K,467.68K,220.81K,223.57K
25,208208516,ᴿᵂBando,7.62M,14.88M,32.6M,3.77M,941.57K,1.12M,85.28K,75.23K
26,208718417,TheinOo,7.57M,10.4M,32.94M,3.3M,823.96K,307.06K,365.31K,55.68K
27,211329312,石木,7.55M,9.54M,28.72M,3.87M,968.21K,209.5K,372.49K,91.29K
28,210262314,ᴮᴺGLE400,7.35M,8.15M,60.86M,11.64M,,203.64K,305.82K,174.08K
29,205864876,BATYA,7.33M,6.99M,53.38M,8.01M,,261.89K,217.72K,275.47K
30,209435533,hiền hihi,7.21M,9.4M,36.96M,6.01M,1.5M,175.25K,382.56K,59.2K
31,210517889,babyb0y,6.02M,8.63M,35.83M,5.83M,1.46M,180.57K,341.33K,0
32,218982356,Lamnesik,5.96M,8.82M,30.76M,3.5M,873.96K,495.68K,86.65K,218K
33,210066323,Dâu tây cny,5.86M,6.59M,30.29M,6.99M,1.75M,348.24K,152.9K,182.75K
34,209645960,ZARIA,5.75M,8.8M,32.7M,4.81M,1.2M,478.59K,200.86K,34.34K
35,210482880,24 X҉  Slayer,5.61M,6.89M,34.64M,3.61M,903.03K,254.63K,214.6K,111.93K
