rank,id,name,DKP,KP,Power,Troop Power,T4 Kills,T5 Kills,Deads
1,209844407,Nick40,233.35M,350.88M,62.05M,13.12M,12.31M,11.37M,0.13M
2,204705520,Mì Xào Dưa,228.51M,322.61M,57.81M,8.67M,14.12M,9.00M,2.29M
3,204717819,RitheR,190.53M,299.46M,60.48M,16.33M,13.35M,8.21M,0.06M
4,210133354,24 X҉  Zenith,175.12M,274.92M,50.28M,6.98M,13.00M,7.05M,0.43M
5,208594000,Báolonf,173.09M,277.75M,59.98M,9.57M,14.68M,6.47M,0.27M
6,207787522,ᴿᵂAmidamaru,139.28M,214.24M,58.17M,10.79M,9.36M,6.03M,0.20M
7,207979381,24 X҉ MuguiBoy,137.17M,220.25M,67.09M,13.25M,13.57M,4.20M,0.63M
8,205864876,BATYA,131.52M,186.96M,55.20M,9.84M,7.10M,5.79M,0.91M
9,204112961,ACôngNhânQN76,104.00M,164.22M,62.14M,22.94M,7.74M,4.32M,0.06M
10,207702281,24 X҉   Leoシ,92.39M,132.51M,47.30M,3.99M,7.82M,2.64M,1.38M
11,204480380,ȿȿ么SALADIN,81.38M,121.07M,48.69M,5.05M,4.86M,3.62M,0.28M
12,203886048,24 X҉ CẩmVan,77.04M,120.86M,58.74M,10.73M,4.37M,3.62M,0.09M
13,208208516,ᴿᵂBando,72.52M,118.75M,32.69M,3.87M,7.43M,1.96M,0.60M
14,209600107,LeONn,63.97M,88.70M,38.92M,4.61M,2.67M,3.10M,0.41M
15,207653866,24 X҉ Gấu,61.71M,96.26M,41.05M,6.33M,5.68M,1.93M,0.43M
16,209750782,JoeLaTabaz,59.62M,86.39M,40.38M,7.69M,3.00M,2.82M,0.24M
17,207861650,ˣˣOldboy,56.97M,87.27M,61.00M,11.84M,3.39M,2.67M,0.00M
18,207682276,ˣˣOIdboy,55.39M,98.69M,63.49M,9.49M,8.58M,0.47M,0.54M
19,207118372,Mamaboy123,53.47M,98.10M,34.75M,6.11M,8.13M,0.77M,0.13M
20,208179191,ᴿw dumbywumby,53.43M,84.71M,33.39M,4.91M,5.06M,1.57M,0.45M
21,207317874,24 X҉ MONGOL,48.74M,72.87M,32.45M,3.60M,4.86M,1.21M,0.63M
22,204674520,VietSharks,47.92M,77.28M,66.33M,14.62M,4.18M,1.77M,0.05M
23,203693698,ᴰʷ Vino limo,45.98M,64.39M,59.19M,13.04M,2.52M,1.96M,0.40M
24,209645960,ZARIA,44.58M,65.15M,33.25M,5.36M,3.04M,1.74M,0.34M
