rank,id,name,DKP,KP,Power,Troop Power,T4 Kills,T5 Kills,Deads
109,210437015,Almaspavlodar,4.72M,1.13M,25.38M,1.40M,0.06M,0.03M,0.40M
110,210661343,业๛ BREEZEメ,4.57M,11.69M,42.00M,5.46M,0.31M,0.17M,0.05M
111,209853749,24TùgGấu,4.49M,5.79M,35.48M,5.82M,0.29M,0.14M,0.09M
112,207270931,guardboy,4.36M,6.47M,35.08M,4.52M,0.19M,0.23M,0.00M
113,209007130,ᴿwmeowington,4.15M,8.05M,29.63M,7.43M,0.78M,0.01M,0.00M
114,210103821,24 X҉  dayday,3.78M,4.51M,33.63M,6.55M,0.24M,0.10M,0.10M
115,209756294,ᴰᴷREDER2502,3.48M,5.22M,27.75M,4.78M,0.50M,0.01M,0.08M
116,212491924,RedbudSupaFarm,3.34M,3.43M,31.54M,6.49M,0.25M,0.05M,0.14M
117,210373350,ero3,3.31M,4.68M,30.16M,6.07M,0.15M,0.16M,0.02M
118,209853474,kurinin23,3.14M,4.08M,25.00M,0.96M,0.17M,0.00M,0.23M
119,209862206,ᴿᵂMCDragoon,3.00M,3.31M,34.38M,7.94M,0.07M,0.13M,0.07M
120,209944070,24X҉  PaTRoN46,2.98M,4.72M,35.03M,2.44M,0.22M,0.12M,0.00M
121,210564758,lord ismail,2.97M,4.07M,30.26M,5.45M,0.23M,0.09M,0.05M
122,210151511,Snoww40,2.79M,1.59M,39.47M,5.18M,0.03M,0.06M,0.17M
123,209756441,ᴰᴷllama2502,2.61M,5.09M,26.99M,4.95M,0.44M,0.02M,0.01M
124,210372799,24 CHEZCKO,2.55M,2.16M,32.99M,6.10M,0.13M,0.04M,0.13M
125,207320759,LAPU  LAPU,2.51M,1.19M,29.41M,2.99M,0.05M,0.03M,0.18M
126,210372642,NTThaSN,2.25M,4.49M,28.88M,6.27M,0.44M,0.00M,0.00M
127,208762017,SP N,2.20M,3.00M,29.13M,6.99M,0.14M,0.08M,0.03M
128,213221751,24 X҉ vSharKs,1.98M,3.96M,32.84M,7.48M,0.40M,0.00M,0.00M
129,210373344,MrGazzz,1.52M,1.93M,26.36M,3.74M,0.09M,0.05M,0.03M
130,209306575,Spartacus6,1.44M,1.81M,37.15M,7.10M,0.07M,0.06M,0.02M
131,210229272,Kandamiala,1.40M,2.08M,26.15M,4.47M,0.12M,0.04M,0.01M
132,208630834,24 X҉  Mommy,1.39M,2.23M,26.30M,3.61M,0.11M,0.05M,0.00M
133,210740345,Basiliscus,1.34M,2.68M,30.68M,7.62M,0.27M,0.00M,0.00M
134,210533310,Vates,1.24M,2.47M,32.43M,7.56M,0.25M,0.00M,0.00M
135,209312381,Yola61,1.22M,1.72M,25.02M,5.43M,0.13M,0.02M,0.03M
136,208560935,Milk 1,1.20M,0.79M,29.58M,2.52M,0.07M,0.01M,0.08M
137,210622572,Radamanthys,1.12M,2.21M,30.18M,6.41M,0.21M,0.00M,0.00M
138,210532839,Beelphegor,1.09M,2.16M,33.53M,8.32M,0.21M,0.00M,0.00M
139,212007469,Ulvsbane farm,1.09M,0.48M,28.33M,2.22M,0.02M,0.02M,0.08M
140,211892788,ᶲJW4101 Farma,1.06M,1.66M,25.98M,3.75M,0.12M,0.02M,0.01M
141,210539282,Scriptor,0.97M,1.93M,33.31M,7.85M,0.19M,0.00M,0.00M
142,210013615,ᴹᴰLadyVic,0.84M,0.38M,29.80M,1.50M,0.04M,0.00M,0.06M
143,210082550,KillerBeuty,0.74M,1.14M,26.35M,0.78M,0.09M,0.00M,0.03M
144,209686553,ATN0Ghost,0.66M,1.05M,27.28M,3.42M,0.05M,0.03M,0.00M
145,208821197,ᴰᴾJoe Black,0.49M,1.01M,25.87M,1.80M,0.10M,0.00M,0.00M
146,208198410,ᴿᵂintruglio,0.42M,0.91M,29.38M,7.19M,0.08M,0.00M,0.00M
147,206917763,solano,0.27M,0.40M,26.10M,1.68M,0.01M,0.01M,0.00M
148,210394486,sencerbatur,0.26M,0.43M,29.19M,3.11M,0.03M,0.01M,0.00M
