rank,id,name,DKP,KP,Power,Troop Power,T4 Kills,T5 Kills,Deads
1,209844407,Nick40,247.07M,536.32M,63.17M,14.24M,26.79M,12.72M,995.15K
2,204705520,Mì Xào Dưa,242.41M,1.27B,55.14M,5.99M,68.06M,28.30M,5.71M
3,204717819,RitheR,226.75M,785.82M,57.08M,12.93M,48.38M,13.73M,4.38M
4,208594000,Báolonf,195.28M,1.11B,56.46M,6.05M,80.93M,11.68M,5.08M
5,210133354,24 X҉  Zenith,179.63M,450.96M,50.18M,6.62M,23.92M,10.25M,1.74M
6,207979381,24 X҉ MuguiBoy,156.01M,1.48B,66.31M,12.48M,96.41M,22.86M,6.65M
7,207787522,ᴿᵂAmidamaru,148.96M,649.82M,59.90M,12.52M,46.51M,8.77M,1.46M
8,205864876,BATYA,138.85M,564.19M,53.54M,8.17M,26.62M,14.78M,2.47M
9,204112961,ACôngNhânQN76,119.60M,544.09M,58.96M,19.76M,35.31M,9.31M,2.48M
10,207702281,24 X҉   Leoシ,99.06M,575.65M,47.71M,4.40M,43.76M,4.28M,4.88M
11,204480380,ȿȿ么SALADIN,97.01M,423.07M,49.09M,5.44M,23.42M,8.26M,4.55M
12,203886048,24 X҉ CẩmVan,89.95M,625.21M,58.49M,10.48M,41.37M,6.99M,4.01M
13,208208516,ᴿᵂBando,75.06M,451.96M,33.00M,4.17M,33.77M,3.96M,3.45M
14,207653866,24 X҉ Gấu,67.73M,253.95M,40.71M,5.98M,16.67M,3.84M,2.23M
15,207861650,ˣˣOldboy,66.38M,979.66M,62.00M,12.83M,65.80M,10.97M,3.78M
16,209600107,LeONn,65.07M,212.59M,39.25M,4.93M,10.25M,5.37M,1.08M
17,209750782,JoeLaTabaz,60.91M,214.65M,40.88M,8.19M,10.58M,5.24M,1.32M
18,207682276,ˣˣOIdboy,56.38M,683.65M,63.05M,9.04M,43.88M,5.33M,3.46M
19,208179191,ᴿw dumbywumby,55.95M,258.67M,33.66M,5.18M,19.21M,2.45M,2.01M
