#,Governor ID,Governor Name,Camp,KD,Power,Power Diff,KP,T4,T5,Dead,Acclaim,Healed,DKP,Trades,Credit Score,Kill Points,Death Points,Heal Points
29,206397294,ᴰʷCOLAIG,VII,3875,69162830,-1828649,339038133,28762991,2561792,1311346,0,11942052,160340074,127.91,0,,,
33,200944291,ᴰʷ Bai Ji,VII,3875,63944309,-3048943,323343030,27915727,1925499,1267238,0,14113740,149926468,105.11,0,,,
63,197851250,ᴰʷpapanyajen,VII,3875,56679215,-1626959,245307143,20587886,1871334,1151851,0,14328305,118342649,79.23,0,,,
102,203889586,ᴰʷ sunny,VII,3875,53167414,561132,204722725,17280173,1234906,301981,0,17330771,85999467,58.05,0,,,
111,203682609,ᴰʷ Thu dĩm,VII,3875,49477177,-2695824,167179071,14182049,1090748,957809,0,11081836,82002811,69.43,0,,,
117,199574737,ᴰʷ the king,VII,3875,56703485,662521,171662411,14023787,1423571,608276,0,17197637,79454998,48.2,0,,,
139,198824464,ᴰʷZodyTyphon,VII,3875,59677036,1558114,167244995,13846120,1011210,289679,0,7149847,69841765,112.4,0,,,
148,206311996,ᴰʷ Châu,VII,3875,36567676,2693643,142896001,12364815,759102,423904,0,18700289,63408840,37.36,0,,,
157,204484509,ᴰʷ warrior,VII,3875,37338681,1114894,122097954,10218889,726134,873272,0,18670763,61235976,31.24,0,,,
187,205919910,ᴰʷKARATEL,VII,3875,42625438,5884538,91228260,7453854,638402,1100998,0,25273998,52714406,17.29,0,,,
199,204849851,ᴰʷ 2 Hòn,VII,3875,37791089,1363623,93234340,7381449,850844,873395,0,15929800,51135161,27.74,0,,,
203,204493133,ᴰʷ Pea,VII,3875,39987687,2683952,104809772,7785494,1177802,519247,0,26283568,50708701,19.55,0,,,
208,206394742,ᴰʷcỏ death,VII,3875,36995480,906734,115126273,6874628,875765,911199,0,5812742,49924147,85.61,0,,,
213,196980269,ᴰʷEl negrø,VII,3875,61588317,-2361809,94180272,7313180,1041315,589077,0,5801707,48502025,73.68,0,,,
234,205279571,ᴰʷ SAK,VII,3875,35632924,4247580,79535205,5977227,802531,842430,0,30275785,44570668,12.78,0,,,
245,206311987,ᴰʷ Bin,VII,3875,33323745,4466364,86112632,7397079,328701,718487,0,30135055,43652631,13.96,0,,,
274,203693698,ᴰʷ Nick Ngô,VII,3875,47221860,7161618,78074511,6134346,733939,552967,0,10855526,40171279,34.22,0,,,
287,203898625,ᴰʷ 관우,VII,3875,45819554,3962212,84128961,6697312,447066,516651,0,16231289,39009673,25.12,0,,,
