#,Governor ID,Governor Name,Camp,KD,Power,Power Diff,KP,T4,T5,Dead,Acclaim,Healed,DKP,Trades,Credit Score,Kill Points,Death Points,Heal Points,Feeding Rate
14,207688109,RWxLoneStar,Fire,3924,18571393,0,0,0,0,0,0,0,0,,100,0,0,0,
24,209569488,24 X҉ BaByHulk,Fire,3924,53607312,0,0,0,0,0,0,0,0,,100,1267156,177095,2472759,
34,207501113,24 X҉  Hyra ツ,Fire,3924,27498150,0,0,0,0,0,0,0,0,,100,0,0,0,
38,208591011,24 X҉ hetcuu,Fire,3924,17911533,0,0,0,0,0,0,0,0,,100,0,0,0,
49,210435381,Supper Saiyan,Fire,3924,23997181,0,0,0,0,0,0,0,0,,100,0,0,721,
72,210266791,Lee See Chen,Fire,3924,23594407,0,0,0,0,0,0,0,0,,100,0,0,0,
78,210376408,Le Venin,Fire,3924,22242220,0,0,0,0,0,0,0,0,,100,0,0,0,
80,211892788,ᶲJW4101 Farma,Fire,3924,24599055,0,0,0,0,0,0,0,0,,100,0,0,1621,
81,207576224,24 X҉ Viona,Fire,3924,40798006,0,0,0,0,0,0,0,0,,100,2667552,150483,1104724,
106,210394486,sencerbatur,Fire,3924,25520331,0,0,0,0,0,0,0,0,,100,0,0,0,
132,210011584,martzyy,Fire,3924,17264481,0,0,0,0,0,0,0,0,,100,142753,331552,1003379,
135,210441175,gaberner,Fire,3924,25718249,0,0,0,0,0,0,0,0,,100,762130,920458,1702635,
136,210253567,Bad papа,Fire,3924,29194928,0,0,0,0,0,0,0,0,,100,0,0,0,
160,210051564,ᴰᴷMatri214,Fire,3924,21535243,0,0,0,0,0,0,0,0,,100,126532,19676,528553,
176,209446165,Dungori famr,Fire,3924,18516746,0,0,0,0,0,0,0,0,,100,0,0,0,
190,210103821,24 X҉  dayday,Fire,3924,31057741,0,0,0,0,0,0,0,0,,100,136241,7259,21900,
246,209645960,24 X҉ RITSARD,Fire,3924,32646857,0,0,0,0,0,0,0,0,,100,3604430,88772,2818728,
249,210428942,Solo is Here,Fire,3924,24586165,0,0,0,0,0,0,0,0,,100,0,0,0,
276,210864248,EvilDoggy,Fire,3924,18499749,0,0,0,0,0,0,0,0,,100,0,0,0,
281,209435533,hiền hihi,Fire,3924,35503953,0,0,0,0,0,0,0,0,,100,202897,0,163471,
291,209926937,우라차차,Fire,3924,26365247,0,0,0,0,0,0,0,0,,100,0,0,0,
308,209986084,maiconphieu,Fire,3924,25593231,0,0,0,0,0,0,0,0,,100,0,0,0,
346,209323093,THE END rog,Fire,3924,24989168,0,0,0,0,0,0,0,0,,100,1123079,0,1231109,
367,209901762,ᴿᵂEJBau,Fire,3924,21269600,0,0,0,0,0,0,0,0,,100,0,0,0,
