Governor ID,Governor Name,Power,DKP,Camp,KD,Power Diff,KP,T4,T5,Dead,Acclaim,Healed,Trades,Credit Score,Clan,Player ID,Kill Points
209619554,ᴹᴰDoC OcK,49406778,0,IV,3924,96300,0,0,0,0,0,0,,100.0,,,
209845456,Kyoto1773,22749614,8760,IV,3924,2080267,21900,2190,0,0,0,70176,,100.0,,,
209218288,GoodVin mini,23469845,0,IV,3924,722391,0,0,0,0,0,4187,,100.0,,,
210095833,24X҉Naofumi,27522192,0,IV,3924,441418,0,0,0,0,0,16939,,100.0,,,
210013615,ᴹᴰLadyVic,29268883,0,IV,3924,2910376,0,0,0,0,0,362516,,100.0,,,
209620976,SUPERMANx,30277007,0,IV,3924,2999372,0,0,0,0,0,1075,,100.0,,,
209907877,24X҉Ken,31982752,2387181,IV,3924,3575752,3501880,287384,31402,61575,0,2216447,7.69,100.0,,,
210432676,24 X҉  Qhà,20282333,0,IV,3924,100917,0,0,0,0,0,761,,100.0,,,
209848694,24 X҉ Leano,31042089,802673,IV,3924,406710,1869610,147477,19742,1023,0,379863,24.54,100.0,,,
209843396,ᶲLe Trong Tan,24027634,0,IV,3924,0,0,0,0,0,0,0,,,,,
210403265,SlowZ06guy,21898746,0,IV,3924,2033651,0,0,0,0,0,449,,100.0,,,
210443073,ᴿᵂDMAᴿᵂ,22534611,0,IV,3924,2254229,11522,0,0,0,0,1633,,100.0,,,
209250126,24 X҉   Sharky,24562297,0,IV,3924,325248,0,0,0,0,0,108603,,100.0,,,
210245347,Szoboslai8,21023323,0,IV,3924,60704,0,0,0,0,0,1776,,100.0,,,
207934863,Hockeye,26228776,0,IV,3924,0,0,0,0,0,0,0,,,,,
210372206,Sela8,21411998,803895,IV,3924,2165119,248579,0,0,53593,0,20306,,100.0,,,
209916577,24 X҉  Don,21951150,0,IV,3924,0,0,0,0,0,0,0,,,,,
210258071,znic,22171533,0,IV,3924,1993507,0,0,0,0,0,21023,,100.0,,,
209829717,24 X҉ Ikigai,27177586,0,IV,3924,0,0,0,0,0,0,0,,,,,
209828773,24 X҉炎Dawn,45178013,0,IV,3924,0,0,0,0,0,0,0,,,,,
209880540,24 X҉ GRUbiYan,20012773,0,IV,3924,0,0,0,0,0,0,0,,100.0,,,
209696150,zia tok,20571909,0,IV,3924,0,0,0,0,0,0,0,,,,,
210234353,AK Optimuss,26487948,2337449,IV,3924,2217305,3244742,205756,55528,63943,0,1833336,8.55,100.0,,,
209989088,24X҉ Alexander,23418684,0,IV,3924,0,0,0,0,0,0,0,,,,,
209172696,Lollo filler 1,33073370,0,IV,3924,1297124,0,0,0,0,0,3897,,100.0,,,
208174479,RW ALEXANAH,23569402,0,IV,3924,70494,0,0,0,0,0,0,,100.0,,,
210371866,24 X҉ KAAN,42663148,0,IV,3924,0,0,0,0,0,0,0,,100.0,,,
209974432,fire001,21124941,10188,IV,3924,1010311,25470,2547,0,0,0,89548,,100.0,,,
209613410,24 X҉ Smeller,30782035,13846,IV,3924,2619598,31170,1739,689,0,0,139212,,100.0,,,
210190324,Legend68,35686086,14232,IV,3924,2468523,144058,3558,0,0,0,47681,,100.0,,,
206973291,RØgueThrottle,30355743,581143,IV,3924,1999360,1108389,107297,422,9849,0,450504,12.04,100.0,,,
209532060,ᴿᵂSigma,27531795,206334,IV,3924,1559721,1226383,45121,2585,0,0,799331,7.67,100.0,,,
210439905,せりお9,32832135,131020,IV,3924,3046490,327550,32755,0,0,0,202182,8.1,100.0,,,
208684612,ᶲJW4101,26199554,122445,IV,3924,3646457,451044,0,0,8163,0,207545,10.45,100.0,,,
207688111,Rwjin2,20641873,214174,IV,3924,-966256,481730,26691,10741,0,0,593023,4.06,100.0,,,
212333596,ᴹɪɴɪK0uisF,20477980,99212,IV,3924,2753472,253683,24803,0,0,0,267510,,100.0,,,
206960318,24 X҉    Ghost,32721709,96402,IV,3924,4328701,229290,18243,2343,0,0,451508,,100.0,,,
207701181,123123sjej,29190910,92072,IV,3924,2409595,226340,21098,768,0,0,602364,,100.0,,,
209751429,油条,26895317,226916,IV,3924,488286,567542,56729,0,0,0,279169,10.16,100.0,,,
209103130,ᶲ DansKingdom,21037408,403684,IV,3924,424134,858940,25786,30054,0,0,1443965,2.97,100.0,,,
208008607,F4rhan Fill,21805127,0,IV,3924,0,0,0,0,0,0,0,,,,,
207579331,24 X҉ SNØŌWミ,21443329,50840,IV,3924,171122,127100,12710,0,0,0,5066,,100.0,,,
207651897,24 X҉ Aureliaツ,20110853,34072,IV,3924,220359,85180,8518,0,0,0,20857,,100.0,,,
208208571,ᴿᵂ Fredi888,26000763,30718,IV,3924,2182989,74942,2507,2069,0,0,288957,,100.0,,,
209171610,ᵍˢ BÙM,27017119,527064,IV,3924,1459220,1317904,131766,0,0,0,524128,12.57,100.0,,,
207256493,ᶫExquerred,31547913,535892,IV,3924,1547939,1260350,94283,15876,0,0,244299,25.8,100.0,,,
210381690,24 X҉  CITOYEN,30447974,540952,IV,3924,-427501,1352380,135238,0,0,0,0,,100.0,,,
209299428,douby 7,24059224,2952468,IV,3924,3880037,8633558,559582,5393,44014,0,1713555,24.56,100.0,,,
210676623,24 X҉ LãoTam,36191612,541864,IV,3924,258894,1385420,135466,0,0,0,40882,,100.0,,,
207663213,ᴿᵂ TRUMPED,41927112,560414,IV,3924,5885051,1146980,13076,50811,0,0,1303319,4.4,100.0,,,
210152430,Sugeng 1,25727562,53876,IV,3924,2530671,229630,13469,0,0,0,421434,,100.0,,,
209902500,бронсон,22533202,0,IV,3924,0,0,0,0,0,0,0,,,,,
209829051,24 X҉ Hexxy,25208050,0,IV,3924,0,0,0,0,0,0,0,,100.0,,,
209830443,BellumDux,23346084,0,IV,3924,0,0,0,0,0,0,0,,100.0,,,
210433741,24 X҉ Palomon,23678544,0,IV,3924,0,0,0,0,0,0,0,,,,,
207501113,24 X҉  Hyra ツ,26197188,0,IV,3924,0,0,0,0,0,0,0,,,,,
209987606,24 X҉GiangBlue,28194634,949916,IV,3924,794271,2709511,229054,1261,1406,0,318473,42.35,100.0,,,
210330736,Charli300,22806239,0,IV,3924,2014215,0,0,0,0,0,750,,100.0,,,
211892788,ᶲJW4101 Farma,21840907,0,IV,3924,2764620,0,0,0,0,0,87966,,100.0,,,
210406006,Lw小哲,26457555,0,IV,3924,0,0,0,0,0,0,0,,100.0,,,
211209147,24 X҉   AxeTR,28085576,0,IV,3924,0,0,0,0,0,0,0,,,,,
209112837,ᶲAKa Rùa,20725041,0,IV,3924,750557,0,0,0,0,0,3236,,100.0,,,
210396149,MozzA,22609674,0,IV,3924,0,0,0,0,0,0,0,,,,,
210750053,KristianCor,26639968,0,IV,3924,871398,0,0,0,0,0,2558,,100.0,,,
209864074,24 X҉ Erass,28165649,0,IV,3924,0,0,0,0,0,0,0,,100.0,,,
209906026,24 X҉   Tuấn,24454032,0,IV,3924,0,0,0,0,0,0,0,,100.0,,,
209837719,24 X҉   メScarメ,26620542,0,IV,3924,0,0,0,0,0,0,0,,100.0,,,
209870454,pantyha,30715877,1009121,IV,3924,1757719,324800,12554,9963,57285,0,340035,4.09,100.0,,,
207889100,ᴿᵂOne Eye,24626039,0,IV,3924,0,0,0,0,0,0,0,,100.0,,,
