uid,name,pow,dkp,kvk3 kp,total kp,clan name
207034573,24 X҉ HànLão,66766749,119722810,253165515,949324155.0,SL
207979381,24 X҉ MuguiBoy,63222535,272801069,559827218,1133686160.0,SL
209294221,24X҉AlphaWolf,56857755,2983077,6351808,43977505.0,SL
210346486,todays 12,56485555,17341140,32295244,88615137.0,SL
207787522,ᴿᵂAmidamaru,55365980,109495445,255080207,393114863.0,SL
207861650,ˣˣOldboy,54435669,106306097,229120678,851772035.0,SL
209844407,RW Nikol40,54267537,25590744,55476986,87303843.0,SL
208559123,Stflrs Mom,52916101,115994846,251253213,415597023.0,SL
209875567,ᴬᵈDMAч1т,52476930,958120,2264210,55306746.0,SL
206968066,24 X҉ThuyAn,52155983,6899391,15776054,,
210262314,ᴮᴺGLE400,52100408,8161278,13075724,45168129.0,SL
209641477,ᵒᵈSHuGUN,51854415,1856713,2077637,,
209569488,24 X҉ BaByHulk,51534791,12154578,28747474,139538293.0,SL
208594000,Báolonf,51102822,101791900,222798301,773667981.0,SL
209619554,ᴹᴰDoC OcK,49439459,0,0,104648432.0,ML
207128271,24 X҉   Shyn,48005261,37906794,65734946,,
209502334,24 X҉WilliamQ8,46315196,4793906,4024580,30811962.0,SL
209506286,ˣˣ AMSTER,45303309,2595672,4642920,171728225.0,SL
209828773,24 X҉炎Dawn,45178013,0,0,,
207702281,24 X҉   Leoシ,44689789,9015648,17737479,394475356.0,SL
209119164,ᶲEmmy Noether,44302967,2033418,1947700,8748968.0,AL
207000003,Takudooo,44109956,60323712,105744980,400828974.0,SL
209978130,Malkoc0glu,43781124,4743862,13203414,91414997.0,SL
207038636,24 X҉ BossMilk,42790543,52370126,104113891,514275121.0,SL
210371866,24 X҉ KAAN,42663148,0,0,,
209324904,TaonguoiVietNam,42657242,5990352,6101798,29314316.0,SL
210239549,luca0507,42522996,17735912,40191302,68628530.0,SL
207093369,24 X҉ FangYuan,42065698,11982468,23229680,263912478.0,SL
210133354,24 X҉  Zenith,41611781,53489449,107883948,163064221.0,SL
209904802,ᴵᴬngân,41383917,33714946,65870843,284645966.0,SL
210293112,24 X҉ Prince,40850827,10539891,18395919,147856300.0,SL
209880966,24 X Blaze,40717346,1838533,2012850,72703454.0,SL
208651441,24 X҉ Tràツ,40531815,58440228,131773942,457085163.0,SL
210151511,Snoww40,40149866,7924438,11272286,,
206949917,marious1990,39873946,97868,244670,23201363.0,SL
207279889,24 X҉ DUMBLDOR,39602112,12981943,26341286,110217289.0,SL
208585387,Топoль,39355291,14678352,15938675,84479245.0,SL
207576224,24 X҉ Viona,39149437,25964527,45096046,124362513.0,SL
208200545,ᴿᵂMama Wolf,39133058,300167,629700,47476552.0,AL
208617337,ᵛⁿPopicicu,39048665,23476617,47554225,315875118.0,SL
208638976,24 X҉ Roytitus,38870416,31693557,71646782,198695209.0,SL
209750782,JoeLaTabaz,38583565,23085373,49479004,116409553.0,SL
208196246,ᴿᵂMoonMoon,38557113,9118039,6476456,61496554.0,AL
209798395,Ubba of Antwerp,38110773,3445345,7350310,63356948.0,SL
208294913,ᴿᵂDoof,37999936,3641903,4284550,85962762.0,AL
209607393,柱 VeNdDeTtA,37998694,19452732,32601323,122196865.0,SL
209838770,24 X҉  ReDemon,37967606,40336,87600,21118095.0,SL
208202264,KrazyBus,37957271,1065697,2232050,109372138.0,AL
209927994,24 X҉  Visna,37944827,11352915,15960789,68806064.0,SL
207653866,24 X҉ Gấu,37782929,31840812,63109371,136181119.0,SL
210049658,24 X҉ Lionhart,37738364,31533470,58893568,105735901.0,SL
208622212,Ulvsbane,37315543,5277859,4770906,19313549.0,LW
208591565,24 X҉ Chanh,37304163,49729818,103029196,156474739.0,SL
204170130,24 X҉ Quýt,37095034,77233595,168891860,207635142.0,SL
210431963,24 X҉ vSharks,37035261,24737606,55941891,96110224.0,SL
209530219,24 X҉ SóiGià,36971758,52685943,107064502,219193653.0,SL
209600107,LeONn,36512468,36349679,68247120,115672469.0,SL
207317722,iryshka,36380789,51384623,108118222,219078127.0,SL
207519309,曾甜3,36237799,12394677,13735846,14355117.0,LW
207109314,24 X҉  Pak RT,36231721,30707509,25152028,,
