#,Governor ID,Governor Name,Camp,KD,Power,Power Diff,KP,T4,T5,Dead,Acclaim,Healed,DKP,Trades,Credit Score,Kill Points,Death Points,Heal Points
36,207979381,24 X҉ MuguiBoy,IV,3924,64295138,1246637,505789263,27112240,11680665,1593868,0,30936287,249163630,77.74,100,,,
124,207034573,24 X҉ HànLão,IV,3924,65456149,-3128563,253165515,17295595,3826314,818486,0,12982575,119722810,91.72,100,,,
133,208559123,Stflrs Mom,IV,3924,53249493,-1014579,244655773,18404875,3004547,646060,0,24361760,113355870,48.92,100,,,
148,207787522,ᴿᵂAmidamaru,IV,3924,54450180,15071631,238446827,19883660,1933041,265149,0,14329167,102842285,81.69,100,,,
181,207861650,ˣˣOldboy,IV,3924,53030811,-143484,183518167,10988848,3676946,494147,0,10451735,88137057,83.83,100,,,
205,208594000,Báolonf,IV,3924,52074226,8639427,175823248,12077906,2491168,515579,0,6098823,80956989,132.91,100,,,
241,204170130,24 X҉ Quýt,IV,3924,35254250,6716463,151431556,9158438,2962151,108477,0,8138843,67882417,91.81,100,,,
262,208208516,ᴿᵂBando,IV,3924,28334983,983013,125897774,8771194,1420577,933678,0,17517237,63295716,34.12,100,,,
273,208108254,Alex hub,IV,3924,35865763,5016842,127219165,11277658,715634,605393,0,18606480,61347867,33.11,100,,,
278,207000003,Takudooo,IV,3924,43612352,5405443,105744980,6386503,1992974,989864,0,6136730,60323712,74.19,100,,,
302,208651441,24 X҉ Tràツ,IV,3924,40074085,2275260,126679582,8907643,1370959,409944,0,11863382,55489322,51.61,100,,,
321,210676287,Frenzy メ,IV,3924,25043781,2820244,108066780,10590777,33840,657769,0,1784896,52568043,221.21,100,,,
328,210133354,24 X҉  Zenith,IV,3924,41380529,5955111,104937748,5193701,2647312,310515,0,9866832,51905649,51.55,100,,,
350,209530219,24 X҉ SóiGià,IV,3924,36445961,3328103,98739873,7120430,966823,694552,0,34808997,48568230,13.91,100,,,
362,209521513,24X҉ Quả Cam,IV,3924,32900995,1392538,100824338,7400765,1203339,326486,0,9476741,46533740,51.42,100,,,
373,207317722,iryshka,IV,3924,36076680,2597378,97634986,7730560,890167,304417,0,22378979,44390165,21.52,100,,,
374,207038636,24 X҉ BossMilk,IV,3924,41375298,1192990,89535906,6307346,1156225,465632,0,15367351,43776114,28.28,100,,,
384,208591565,24 X҉ Chanh,IV,3924,35116795,3510453,91309894,5914677,1456280,315380,0,13846359,42952208,32.24,100,,,
389,209842542,ᴱᵂMr C,IV,3924,33215727,5703979,113821890,9493221,405823,28789,0,6689925,42462949,84.71,100,,,
391,209534514,24 X҉ Ney,IV,3924,30161880,3170965,86843490,6299276,680082,675005,0,12114172,42122999,33.95,100,,,
420,209435533,hiền hihi,IV,3924,33891114,2583943,77799536,4153457,1539266,405416,0,41134105,38087728,9.36,100,,,
422,207128271,24 X҉   Shyn,IV,3924,48005261,1526786,65734946,4663391,934225,660732,0,3383977,37906794,81.26,100,,,
433,210272139,Inf1n1ty,IV,3924,27425279,4962617,80431257,6239095,901383,203267,0,13073965,37019215,30.29,100,,,
440,209600107,LeONn,IV,3924,36204555,3560374,68247120,3112771,1848223,361091,0,7727821,36349679,42.19,100,,,
451,208157738,03 SHEEP,IV,3924,35690272,6853476,78977265,5216643,1339500,88655,0,8212046,35591397,47.57,100,,,
503,209089507,24X҉ Olivia,IV,3924,27454930,1484359,48060588,3426111,606189,749324,0,9184559,31006194,24.19,100,,,
511,209645960,24 X҉ RITSARD,IV,3924,31579756,3268832,61100299,3722543,1185409,252501,0,7083033,30531777,41.65,100,,,
518,208638976,24 X҉ Roytitus,IV,3924,36925123,2941984,66805892,5311054,684341,110159,0,5262501,29740011,62.17,100,,,
526,207108248,HOY PINOY AKOヮ,IV,3924,24091078,-84676,25494346,894800,822107,1153563,0,11022437,29103715,10.47,100,,,
532,209811971,peter graffi,IV,3924,27711592,1354394,45818063,2805471,710192,691280,0,10515246,28693004,20.44,100,,,
535,207317874,24 X҉ MONGOL,IV,3924,29070167,2766268,43269813,3771870,276477,702623,0,8143222,28391595,24.46,100,,,
551,210422456,Mảngo,IV,3924,22571891,1336761,6521242,454736,78647,1648164,0,4866521,27327874,5.01,100,,,
555,210082550,xFACAx,IV,3924,27240220,-254664,6044446,252404,175986,1613497,0,1938868,26971931,8.51,100,,,
561,210049658,Lejonhjärta,IV,3924,36796326,4699373,49673764,3326367,706744,427311,0,25393088,26782573,9.62,100,,,
566,207109314,24 X҉  Pak RT,IV,3924,37130957,-4069207,24646428,2252546,34612,1133483,0,1170177,26358549,53.49,100,,,
571,208580783,24X҉Сиэль,IV,3924,27019130,1786808,52121447,4571227,320298,308408,0,7204164,26114008,34.69,100,,,
573,207576224,24 X҉ Viona,IV,3924,38438066,4233806,45096046,2703978,902200,408441,0,6096891,25964527,34.66,100,,,
579,208558087,24 X҉ Alie,IV,3924,28674464,988769,43113190,1533256,1388827,378162,0,5152376,25693724,38.98,100,,,
