Governor ID,Governor Name,Power,DKP,Camp,KD,Power Diff,KP,T4,T5,Dead,Acclaim,Healed,Trades,Credit Score,Clan
210896556,Hired Killer,25344031,4467524,IV,3924,3915229,7252864,603341,0,136944,0,118316,142.07,100.0,ADRL
207057491,ˣⁿDrina,21402302,652224,IV,3924,1496506,1911577,163056,0,0,0,567820,16.83,100.0,ADRL
210834666,harryg91,20371735,99940,IV,3924,2292402,199880,0,9994,0,0,353748,,100.0,ADRL
210006467,sSnoopy,20704574,60728,IV,3924,1864018,151820,15182,0,0,0,339163,,100.0,ADRL
209312381,Yola61,20704844,7028,IV,3924,1250776,17570,1757,0,0,0,83816,,100.0,ADRL
210406925,kishmish1,22508251,3824,IV,3924,1603041,9560,956,0,0,0,43394,,100.0,ADRL
210664315,lãotứk,20253958,188,IV,3924,638770,470,47,0,0,0,53900,,100.0,ADRL
210266508,MauritiusVictus,29556342,0,IV,3924,4480924,0,0,0,0,0,82466,,100.0,ADRL
208649830,ᶲMrFoolsDay,25855788,0,IV,3924,0,0,0,0,0,0,0,,100.0,ADRL
208183840,Third Option,23624545,0,IV,3924,1740876,0,0,0,0,0,0,,100.0,ADRL
207434370,ᴾᴵTorenzik,38994474,0,IV,3924,134392,0,0,0,0,0,0,,100.0,ADRL
210806310,Jaehaerys 1er,21676501,0,IV,3924,1454448,0,0,0,0,0,11984,,100.0,ADRL
210372545,ᴾᴱStonəy,20674879,0,IV,3924,81000,0,0,0,0,0,740,,100.0,ADRL
212579837,Đệtamfamr,28266437,0,IV,3924,2040820,0,0,0,0,0,846,,100.0,ADRL
210888570,Fozzie 3,20931240,0,IV,3924,1477684,0,0,0,0,0,0,,100.0,ADRL
210584534,Ryyysiek 2,22360048,0,IV,3924,1548503,0,0,0,0,0,688,,100.0,ADRL
208157738,03 SHEEP,35690272,35591397,IV,3924,6853476,78977265,5216643,1339500,88655,0,8212046,47.57,100.0,AL
209089507,24X҉ Olivia,27454930,31006194,IV,3924,1484359,48060588,3426111,606189,749324,0,9184559,24.19,100.0,AL
207108248,HOY PINOY AKOヮ,24091078,29103715,IV,3924,-84676,25494346,894800,822107,1153563,0,11022437,10.47,100.0,AL
209814285,空Tuấn空,31265611,18632776,IV,3924,6889039,33736523,2184264,348343,427486,0,12632998,12.92,100.0,AL
210900267,LORD ZEE 1,24762094,18365162,IV,3924,946443,2115956,58208,76692,1157694,0,1598706,3.84,100.0,AL
210446135,SCOURGE OF GOD,20749723,16662342,IV,3924,283193,21486830,1293783,193074,637098,0,4120954,22.58,100.0,AL
209749867,ᴬᶠBamba,24832351,16361358,IV,3924,1286332,6587490,292847,182935,890708,0,2306428,10.3,100.0,AL
209982519,Vᴺ Longcon,23251626,15757104,IV,3924,-2052366,986949,24956,36811,1019278,0,1205278,2.22,100.0,AL
209306575,Spartacus6,32091298,15250340,IV,3924,4680718,26265560,2005730,308049,276462,0,3563870,34.2,100.0,AL
208211785,ᶲOmJiroᴿᵂ,28664444,14440975,IV,3924,2368153,20712148,1201240,364503,399399,0,11780508,8.5,100.0,AL
208196720,ᴿᵂGNV,32929974,12229080,IV,3924,1742798,3648690,246285,59292,710068,0,3156663,4.72,100.0,AL
209862206,MCDragoon,31832813,12096932,IV,3924,4212194,23005227,2225458,32644,191244,0,1253985,79.59,100.0,AL
209965993,Мрисса,28604443,11673281,IV,3924,1749336,7488808,446754,151031,558397,0,6619244,5.22,100.0,AL
207280922,ᴮᴺPemudA,30678548,11345854,IV,3924,2674638,10783491,470906,303104,428746,0,1996336,22.23,100.0,AL
209321542,Rambo ll,28710263,11231619,IV,3924,3051865,11013030,518851,290114,417005,0,5236803,9.74,100.0,AL
209881330,ᴿᵂKittamer,28076599,10021189,IV,3924,4364353,3005866,176446,61572,579979,0,2918984,4.3,100.0,AL
210417562,24 X҉   Redbud,31844339,10008841,IV,3924,2045100,2670339,152149,54177,590565,0,1656802,5.94,100.0,AL
208630834,24 X҉  Mommy,23834537,9606243,IV,3924,1680345,13897300,1206062,91834,257577,0,4089279,15.99,100.0,AL
210295022,마가우가하후씨,22419453,9527848,IV,3924,-1194570,1647259,152627,6038,590464,0,1027913,5.09,100.0,AL
208198024,ᴿᵂMaegun,31048695,9393442,IV,3924,2107006,9220493,748853,74180,377082,0,2608208,15.44,100.0,AL
208196246,ᴿᵂMoonMoon,37363709,9118039,IV,3924,1750590,6476456,215946,215848,406385,0,2973514,9.58,100.0,AL
208158335,24 X҉ HellSing,30305670,9065989,IV,3924,200696,4047951,283486,60414,488527,0,3388636,5.22,100.0,AL
209367234,øPositron,36881836,8639240,IV,3924,3087900,4663808,312890,75867,441934,0,2402204,8.2,100.0,AL
208627398,Asimo884,35342182,7659416,IV,3924,4575564,2904604,108974,77649,429802,0,2287586,5.34,100.0,AL
209894459,LeslieChow,26593859,7654656,IV,3924,2733311,9392605,444599,85645,334654,0,22269588,2.08,100.0,AL
208680184,Kutilkatak,27731212,7069356,IV,3924,1605281,11858370,583509,301164,114912,0,8542856,6.85,100.0,AL
207683036,ᴿᵂArtзmis,34031449,6876768,IV,3924,3131921,11159994,1006802,54598,153572,0,1621341,31.44,100.0,AL
209016436,メB L E S S,31581556,6654692,IV,3924,2908307,8920450,375513,258113,171434,0,3824030,11.16,100.0,AL
210332264,ʳᶻKe1XrTh1zn,28007311,6528424,IV,3924,3215781,5585430,291996,82177,302578,0,1906974,12.64,100.0,AL
208189568,ᴿᵂMelMel,30743735,6504642,IV,3924,4299575,16649627,1487418,55497,0,0,3331075,24.99,100.0,AL
206995967,Choco 1,28926719,5994523,IV,3924,622192,4440735,269677,56724,289905,0,932626,18.16,100.0,AL
209804157,ᴿᵂELLVIERA,25877041,5926236,IV,3924,3135523,6656102,257679,203160,190928,0,8620317,3.78,100.0,AL
209882504,Coconut15,20846478,5551749,IV,3924,473742,3969883,225936,85287,253009,0,2563426,7.05,100.0,AL
209852044,ᴿᵂVito,21575782,5453862,IV,3924,1710265,5593150,329973,112752,200430,0,1962603,12.93,100.0,AL
210375755,warandromedha,22302989,5137995,IV,3924,2585897,3439649,215785,64088,242265,0,1822832,8.33,100.0,AL
207860890,ᴿᵂMagicMal,21799995,5126833,IV,3924,436611,2034161,79402,61731,279461,0,2276217,3.98,100.0,AL
210383699,Le Rose,20431350,5093850,IV,3924,831464,1376325,122780,7426,301898,0,1619981,3.58,100.0,AL
209904530,ᴿᵂ MarkDen,28789284,5046381,IV,3924,6048533,2832440,196954,43145,255141,0,1947930,6.43,100.0,AL
209345131,ᴰᴷCamaron,25773096,4822778,IV,3924,2386818,2702220,128067,25346,270470,0,791485,12.72,100.0,AL
210300701,Gund,31053832,4769423,IV,3924,2863010,10385014,678187,179362,17537,0,3874846,13.34,100.0,AL
209817323,ᴰᴷZORO GPS,30568624,4591328,IV,3924,10235824,10157277,471862,264361,4018,0,5336552,9.51,100.0,AL
209482763,Éléna,33337946,4443492,IV,3924,1080022,915280,38438,26545,268286,0,467738,6.22,100.0,AL
211065244,Kr0uKe1zR0k,23837242,4432778,IV,3924,3121541,964868,83597,6426,268942,0,1822202,2.31,100.0,AL
213221751,24 X҉ vSharKs,29524369,4320759,IV,3924,3261393,8306548,799056,14559,65263,0,4021471,10.16,100.0,AL
208200368,ᴿᵂAlphaWolf,28747871,4124550,IV,3924,3024916,9527034,654815,148789,1160,0,3637919,13.09,100.0,AL
207777450,WorstNightmare,28823724,4063144,IV,3924,3442136,645082,28331,18065,251278,0,864088,2.89,100.0,AL
208206714,ᴿᵂPredator,24772222,3727959,IV,3924,3845710,858490,25571,30139,221619,0,1534838,2.44,100.0,AL
208294913,ᴿᵂDoof,37975936,3641903,IV,3924,3383369,4284550,256197,86129,117055,0,1071352,18.03,100.0,AL
209870149,ᴿᵂJOESANJI,25452567,3444299,IV,3924,4901877,2419136,154776,19511,175339,0,746169,13.13,100.0,AL
209007130,ᴿwmeowington,26734273,3434543,IV,3924,2838082,4323634,399637,15742,111905,0,1323761,15.06,100.0,AL
212491924,24 X҉   Bean,26884043,3195236,IV,3924,5640840,445281,18349,12958,199484,0,500015,3.18,100.0,AL
209393079,ᴿᵂ Shakkah,30162070,3012219,IV,3924,4246377,5467834,319421,113659,39863,0,5184076,5.23,100.0,AL
210402314,Мех,22192392,2682912,IV,3924,1944873,211530,21153,0,173220,0,482157,,100.0,AL
209807832,Evertonian,27057454,2395416,IV,3924,3980984,2377137,75124,15542,129300,0,1780638,6.22,100.0,AL
208188806,rw kk,24240045,2348517,IV,3924,1974267,2603917,204498,25353,85133,0,2191732,5.72,100.0,AL
207562640,ᴿᵂEazyBuu,28913832,2331322,IV,3924,3067559,3556117,269778,42787,54956,0,1516511,11.31,100.0,AL
208164511,ᴿᵂIndigo,26749251,2202070,IV,3924,2398806,3697360,331720,19008,45674,0,571474,29.96,100.0,AL
210387001,Cá161691,23619012,2173999,IV,3924,1539721,233250,16691,3317,138271,0,860938,,100.0,AL
209119164,ᶲEmmy Noether,42513195,2033418,IV,3924,8493934,1947700,124377,35187,78936,0,513953,16.43,100.0,AL
208198410,ᴿᵂintruglio,27946039,1725339,IV,3924,3663240,1926946,127641,32511,59311,0,898721,10.06,100.0,AL
209803899,Marshglow,33290459,1711301,IV,3924,2970110,3912198,357599,16764,7551,0,2002497,9.73,100.0,AL
209885315,ᴿᵂKapo,20798718,1597310,IV,3924,1673008,1382100,69220,34495,65032,0,2549545,2.64,100.0,AL
210373344,Oulboy,21359090,1441288,IV,3924,2014694,1497430,71377,39183,50930,0,957540,7.42,100.0,AL
208211218,ᴿᵂ Rooster,21199296,1394926,IV,3924,698663,806050,16789,31908,67246,0,891623,4.2,100.0,AL
208961613,ᴿᵂSabrewolf,27044541,1179476,IV,3924,5252934,1012694,79079,11016,50200,0,1967622,2.51,100.0,AL
208202264,KrazyBus,37324377,1065697,IV,3924,2444429,2232050,127173,48016,5123,0,797110,13.91,100.0,AL
210377522,I54c,20441979,858962,IV,3924,444896,1810460,46268,67389,0,0,2391953,3.78,100.0,AL
210944394,24 X҉  Full,20516655,786277,IV,3924,2858608,843030,19643,32330,25627,0,934554,4.39,100.0,AL
210562229,Panda Legion,22222311,680542,IV,3924,1610824,2764985,93888,13777,11148,0,147597,87.09,100.0,AL
208211560,ᴿᵂ Musti,25005363,678797,IV,3924,4922937,110150,10653,59,42373,0,144231,,100.0,AL
210066323,cà chua ok,27119517,583626,IV,3924,2866146,3561660,108299,10969,2716,0,385727,45.85,100.0,AL
209756441,ᴰᴷllama2502,23958494,582362,IV,3924,3240018,1322030,78653,26775,0,0,464036,14.24,100.0,AL
209756294,ᴰᴷREDER2502,24159136,521372,IV,3924,2409756,1209330,83293,18820,0,0,374001,16.17,100.0,AL
210401319,bulldog,30264729,408532,IV,3924,3253308,879430,31183,28380,0,0,1157392,3.8,100.0,AL
209899711,Ninnitt,20912649,403765,IV,3924,998721,287580,7070,10844,17803,0,711090,,100.0,AL
208226755,ᴿᵂGRAYWOLF,22261252,392482,IV,3924,1194244,284178,16353,5797,17940,0,81632,,100.0,AL
209803084,xAgresif,31619700,388918,IV,3924,777593,942540,82352,5951,0,0,274716,17.15,100.0,AL
208210296,ᴿᵂTalha67,26275012,314880,IV,3924,2353077,787200,78720,0,0,0,190554,20.66,100.0,AL
208200545,ᴿᵂMama Wolf,38746356,300167,IV,3924,3269828,629700,22978,19996,553,0,1345654,2.34,100.0,AL
209986084,maiconphieu,23611982,142332,IV,3924,1690370,347122,31228,1742,0,0,1449700,,100.0,AL
210330344,buonngu,21942720,133248,IV,3924,1816425,365712,33312,0,0,0,4248148,,100.0,AL
207689266,ᴿᵂManuel,22229861,103904,IV,3924,1128461,259760,25976,0,0,0,54635,,100.0,AL
209311732,ᴿᵂ RØW,26764396,101944,IV,3924,1706559,254860,25486,0,0,0,331212,,100.0,AL
211311750,Sergо,22190843,77412,IV,3924,647048,193532,19353,0,0,0,527273,,100.0,AL
210218341,DEMId 01,28588002,58618,IV,3924,2189219,146260,14512,57,0,0,307238,,100.0,AL
