Governor ID,Governor Name,Power,DKP,DKP,Clan
209294221,24X҉AlphaWolf,56235814,2983077,2983077,SL
209875567,ᴬᵈDMAч1т,51875583,958120,958120,SL
209641477,ᵒᵈSHuGUN,51078740,1856713,1856713,
209619554,ᴹᴰDoC OcK,49406778,0,0,SAL
209828773,24 X҉炎Dawn,45178013,0,0,
209506286,ˣˣ AMSTER,44626810,2595672,2595672,SL
209978130,Malkoc0glu,42866050,2750440,2750440,SL
210371866,24 X҉ KAAN,42663148,0,0,
209119164,ᶲEmmy Noether,42513195,2033418,2033418,AL
207663213,ᴿᵂ TRUMPED,41927112,560414,560414,
209880966,24 X Blaze,39758295,1838533,1838533,SL
207434370,ᴾᴵTorenzik,38994474,0,0,ADRL
206949917,marious1990,38758501,97868,97868,SL
208200545,ᴿᵂMama Wolf,38746356,300167,300167,AL
209838770,24 X҉  ReDemon,37466401,40336,40336,SL
209798395,Ubba of Antwerp,37459458,2578392,2578392,SL
208202264,KrazyBus,37324377,1065697,1065697,AL
210676623,24 X҉ LãoTam,36191612,541864,541864,
210190324,Legend68,35686086,14232,14232,
209692424,ᴮᴺ Lee Myon,34899741,551848,551848,SL
206971212,24 X҉  ʙuᴅa,34743763,0,0,
210394369,Hắc ma,34635837,834814,834814,
210445136,24 x Đệtam,34295726,2817016,2817016,LW
210490061,24 X҉ DuMuc,34264489,1796408,1796408,SL
207692611,RW It is I,33880354,0,0,AL
209875786,24 X҉  Malrin,33805543,2277148,2277148,SL
207012251,MeowMeowMeowww,33763713,1611230,1611230,SL
209803899,Marshglow,33290459,1711301,1711301,AL
209172696,Lollo filler 1,33073370,0,0,
209853749,24TùgGấu,32882795,2720250,2720250,SL
210439905,せりお9,32832135,131020,131020,
206960318,24 X҉    Ghost,32721709,96402,96402,
209905807,24X҉   Valetta,32552536,2230,2230,SL
209907877,24X҉Ken,31982752,2387181,2387181,
209803084,xAgresif,31619700,388918,388918,AL
207256493,ᶫExquerred,31547913,535892,535892,
207037071,ᴳᵛChocolate,31157659,689034,689034,SL
209848694,24 X҉ Leano,31042089,802673,802673,
208973298,24 X҉ AndiUmar,30934422,2465898,2465898,SL
208195504,ᴿᵂ Zytue,30909534,2491727,2491727,SL
209613410,24 X҉ Smeller,30782035,13846,13846,
209870454,pantyha,30715877,1009121,1009121,
210101700,Jinozz,30700072,531358,531358,SL
209320692,ᴱᶻLelya Fm,30621098,412844,412844,SL
210381690,24 X҉  CITOYEN,30447974,540952,540952,
206973291,RØgueThrottle,30355743,581143,581143,
209620976,SUPERMANx,30277007,0,0,
210401319,bulldog,30264729,408532,408532,AL
207989016,SpeedEge2,30132958,2007730,2007730,SL
210266508,MauritiusVictus,29556342,0,0,ADRL
210249125,Gopq,29397325,0,0,LW
207423496,F4RHAN,29335448,0,0,
210013615,ᴹᴰLadyVic,29268883,0,0,SAL
207701181,123123sjej,29190910,92072,92072,
207748792,ᴷᴰ NirF,29153983,0,0,LW
206967436,KATSOUTA,29072635,0,0,
208313590,Jack メ Mengocok,29043416,0,0,
210253596,ᴳᴺAURELIUS,28959207,0,0,
209601440,ᵍˢSeth,28951352,0,0,
207562640,ᴿᵂEazyBuu,28913832,2331322,2331322,AL
210434155,Secte,28874538,1651783,1651783,LW
210218341,DEMId 01,28588002,58618,58618,AL
208560935,ᶲ Aheles,28485545,20156,20156,LW
209833637,MANCH,28392234,0,0,AL
207320759,QUADBREED,28281515,1506129,1506129,LW
212579837,Đệtamfamr,28266437,0,0,ADRL
209987606,24 X҉GiangBlue,28194634,949916,949916,
206974141,ᴳᴴKaiO,28175245,0,0,SL
209864074,24 X҉ Erass,28165649,0,0,
211209147,24 X҉   AxeTR,28085576,0,0,
207296852,ᶫʳ Dron FPV,28059434,1908913,1908913,
212007469,Ulvsbane2,27951139,915837,915837,LW
208198410,ᴿᵂintruglio,27946039,1725339,1725339,AL
209837031,24 X҉  ЫЫЫ,27842755,0,0,
209532060,ᴿᵂSigma,27531795,206334,206334,
210095833,24X҉Naofumi,27522192,0,0,
209757200,Quynhhxxihgaiii,27495566,3600,3600,LW
210166542,Abcdefin,27482522,1008889,1008889,LW
209265582,Lee Lovely F,27265216,0,0,
209829717,24 X҉ Ikigai,27177586,0,0,
210531865,Cyntra City,27120942,92428,92428,LW
210066323,cà chua ok,27119517,583626,583626,AL
209807832,Evertonian,27057454,2395416,2395416,AL
208961613,ᴿᵂSabrewolf,27044541,1179476,1179476,AL
207938366,клевый,27034911,36978,36978,AL
209171610,ᵍˢ BÙM,27017119,527064,527064,
209751429,油条,26895317,226916,226916,
209311732,ᴿᵂ RØW,26764396,101944,101944,AL
210210393,Zhâk,26762592,2544710,2544710,LW
208164511,ᴿᵂIndigo,26749251,2202070,2202070,AL
210750053,KristianCor,26639968,0,0,SAL
209837719,24 X҉   メScarメ,26620542,0,0,
210393177,tao nè vn,26514008,0,0,LW
210234353,AK Optimuss,26487948,2337449,2337449,
210406006,Lw小哲,26457555,0,0,
209837225,iXx,26431484,0,0,
208210296,ᴿᵂTalha67,26275012,314880,314880,AL
207934863,Hockeye,26228776,0,0,
208684612,ᶲJW4101,26199554,122445,122445,
207501113,24 X҉  Hyra ツ,26197188,0,0,
208850800,24 X҉ 도주이득,26177030,0,0,
209837521,24 X VADO,26029404,161604,161604,
208208571,ᴿᵂ Fredi888,26000763,30718,30718,
208649830,ᶲMrFoolsDay,25855788,0,0,ADRL
209843352,24 X tafger,25833690,0,0,
210532839,Beelphegor,25826710,1325177,1325177,LW
209245175,Pikachu br,25748530,0,0,
210152430,Sugeng 1,25727562,53876,53876,SAL
210539282,Scriptor,25619189,1259105,1259105,LW
209881387,۷ɛƈŋą,25305367,0,0,
207275480,cocojambo,25294471,30408,30408,AL
206992661,GunnaGhøst,25225453,25850,25850,AL
210428942,SuButay,25222333,2182089,2182089,
209829051,24 X҉ Hexxy,25208050,0,0,
209686553,ATLAS007,25183571,559963,559963,LW
204517431,ThienDi,25072072,2697821,2697821,LW
210394486,sencerbatur,25021386,189546,189546,LW
208211560,ᴿᵂ Musti,25005363,678797,678797,AL
209743364,Secteryum,24851190,1105476,1105476,LW
210376950,NightStarr,24846771,2346742,2346742,LW
210533310,Vates,24833642,1140077,1140077,LW
210209380,King Bismarck,24778248,2951116,2951116,LW
209502377,ᵍˢkraM,24638780,0,0,
207889100,ᴿᵂOne Eye,24626039,0,0,
210740345,Basiliscus,24580365,1091959,1091959,LW
209250126,24 X҉   Sharky,24562297,0,0,
209906026,24 X҉   Tuấn,24454032,0,0,
209267900,karipapkentang,24427152,0,0,
209836261,ᶲ Lady D,24303438,0,0,AL
208188806,rw kk,24240045,2348517,2348517,AL
209756294,ᴰᴷREDER2502,24159136,521372,521372,AL
