Rank,Kingdom,Group,KvK,KvK Start,KvK End,Power,Power Capped,KP,Dead,CH25
1,3308,A,"C13208 (Battle), C13224 (Battle)",2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,33542160989,27226272544,4.45334E+12,12222288019,300
2,1093,A,C13208 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,29547794298,27757034469,4.2457E+12,11999028606,300
3,2359,A,"C13225 (Battle), C13208 (Battle)",2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,29433482981,28082069807,4.96071E+12,13304811922,300
4,3213,A,C13209 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,27866907372,27830480746,6.11327E+11,3847585277,300
5,1001,A,,,,27626516340,27553560696,1.41921E+11,2747257914,300
6,1002,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,27127532937,27044729038,2.49689E+11,3819179797,300
7,1981,A,C13208 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,26323599647,25569860924,2.64369E+12,7243560373,300
8,2489,A,"C13208 (Battle), C13224 (Battle)",2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,25433884517,24618456719,4.60003E+12,12802752140,300
9,3189,A,C13209 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,24526783232,24523067318,2.9126E+11,3498312516,300
10,3060,A,,,,23906081420,23902276046,2.9153E+11,4356662399,300
11,1394,A,"C13231 (Battle), C13246 (Battle)",2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,23230035158,23227200510,5.63029E+11,5921630417,300
12,1903,A,,,,22759441365,22730722868,1.95692E+12,6787224010,300
13,3594,A,"C13219 (Battle), C13209 (Battle)",2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,22657712488,22657268520,3.35249E+11,3960620032,300
14,1365,A,C13192 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,21678553789,21557422207,2.86025E+12,9098966261,300
15,2293,A,,,,20723615108,20701043805,1.6768E+12,6398532067,300
16,1052,A,C13210 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,20683303060,20653020113,2.64923E+11,4475654007,300
17,3212,A,C13182 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,20233988869,20233988869,1.52086E+11,3676974152,300
18,2638,A,C13232 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,20036652337,19984223258,1.59629E+12,5918736362,300
19,3672,A,C13208 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,20004481940,18020327876,2.02777E+12,5700038457,300
20,1875,A,C13192 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,19917570313,19813105689,2.35191E+12,7654085809,300
21,1606,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,19819691711,19660837657,2.84511E+12,8156178310,300
22,2141,A,,,,19633818039,19633818039,1.85606E+11,3198514710,300
23,2563,A,C13199 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,19481826160,19434551339,2.11392E+12,6236947421,300
24,1473,A,,,,19433541669,19360709628,1.68027E+12,6336245646,300
25,1786,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,19376708644,18990601217,1.41291E+12,6236443344,300
26,2728,A,,,,19193276592,19068999538,2.31631E+12,6725100491,300
27,3842,A,,,,19064823786,18418276783,1.26212E+12,4428657375,300
28,2748,A,,,,18885505067,18693933180,1.36669E+12,5395639707,300
29,2902,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,18670907472,18666981127,1.14104E+12,4557537230,300
30,1344,A,,,,18493810648,18458536390,1.53624E+11,2554471203,300
31,2925,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,18471486152,18438800695,9.24237E+11,4591632308,300
32,3639,A,,,,18437406618,18437406618,2.07095E+11,2562711907,300
33,1718,A,C13199 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,18351444819,18297293373,2.18416E+12,6828300926,300
34,3517,A,,,,18217561922,18182620552,1.32194E+12,4742325900,300
35,1003,A,C13239 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,18082958025,18047576584,1.2752E+11,3304088223,298
36,2382,A,C13182 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,18009603240,17540764835,2.03937E+11,3238433078,300
37,2387,A,C13208 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,17874376651,17864669149,9.75804E+11,4614352028,300
38,2469,A,C13234 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,17815291251,17815291251,1.08512E+11,3116668368,300
39,3274,A,,,,17724165332,16963782649,1.48394E+12,5337046333,300
40,3908,A,,,,17694334827,17455691373,3.11384E+11,1071997340,300
41,1316,A,C13199 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,17463405094,17321851585,2.26551E+12,7488898245,284
42,2905,A,C13227 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,17353141884,17353141884,2.6402E+11,3435210077,300
43,3526,A,C13208 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,17186766351,17163482910,8.9825E+11,3912207887,300
44,1818,A,C13192 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,17000262319,16976325190,8.73656E+11,4412995735,300
45,2398,A,C13182 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,16983970226,16983970226,2.21385E+11,3241163011,300
46,2983,A,,,,16928186417,16328373909,1.27308E+12,5299362138,300
47,2403,A,,,,16771289927,16771289927,1.85181E+11,2768037777,300
48,3500,A,,,,16704997962,16686050408,1.00127E+12,4254497808,300
49,1631,A,,,,16662131331,16662131331,2.75105E+11,3074790569,300
