Rank,Name,Player ID,Alliance Rank,Power,Kill Points,Last Updated,Forts Destroyed,Mad Scientist Points,Building Time (seconds),Times Helped,Resource Assistance,Usefulness Score
68,24 X҉ HànLão,207034573,Leader,70407291,977529699,8/21/26,1,42500,0,46,0,19
88,BATYA,205864876,R3,55752295,372606607,8/21/26,2,27600,0,176,0,14
113,ᴬᵈDMAч1т,209875567,R3,54156820,59233681,8/21/26,0,10600,0,22,0,5
118,ˣˣ AMSTER,209506286,R3,46176559,174504716,8/21/26,0,10100,0,52,0,4
84,24 X҉ Bin,205078912,R3,45334507,187144819,8/21/26,0,35600,0,51,0,15
125,24 X҉ FangYuan,207093369,R3,43701841,263912478,8/21/26,0,1400,0,5,0,1
50,24 X҉ vSharks,210431963,R1,42751576,168282814,8/21/26,21,15600,3218,642,18400000,26
63,24 X҉ Prince,210293112,R2,42176945,154868328,8/21/26,15,19800,145,139,0,21
85,24 X҉   Bin,203945925,R2,39171762,220365129,8/21/26,0,32500,0,7,0,14
41,业๛ BREEZEメ,210661343,R3,37503571,113435262,8/21/26,19,37000,4620,131,0,32
35,hiền hihi,209435533,R3,35911499,142028127,8/21/26,22,36400,0,31,0,33
100,24 X҉ Jhoncewi,207014016,R2,35858929,117424093,8/21/26,0,24900,0,3,0,11
73,Alex hub,208108254,R4,35347956,340788361,8/21/26,13,13800,3140,264,18400000,18
135,Spartacus6,209306575,R1,34935491,102637046,8/21/26,0,1000,0,20,0,0
119,24TùgGấu,209853749,R2,34596777,116598612,8/21/26,0,8400,0,8,0,4
99,Jinozz,210101700,R2,34462263,35079265,8/21/26,0,25000,0,13,0,11
49,TOMBOYY,209043926,R1,34182013,90610994,8/21/26,12,24900,20000,3,0,26
44,24 X҉ Klee,209527597,R2,33561975,156554358,8/21/26,18,37800,0,47,120000000,30
66,ᴿᵂ Zytue,208195504,R3,33412053,26444673,8/21/26,1,27600,0,3051,0,20
109,Secte,210434155,R2,33171104,13747751,8/21/26,3,5900,2562,30,0,6
7,ᴹᴰXrUsT,209616823,R3,33098322,114656825,8/21/26,48,42700,0,96,20032000,56
129,Алекс 2909,210254146,R3,32945582,32866563,8/21/26,0,0,0,0,0,0
76,ᴳᵛChocolate,207037071,R2,32231440,59779970,8/21/26,0,41000,0,5,0,17
39,ᴱᶻLelya Fm,209320692,R3,31970816,34659257,8/21/26,25,24400,5862,16,18400000,32
70,ᴿᵂPalo4keee,209848443,R3,31965950,103544659,8/21/26,3,39000,0,39,0,19
108,xxAgresif,207742044,R2,31598108,65074022,8/21/26,0,15300,0,6,0,7
112,24 X҉ vSharKs,213221751,R2,31335314,27011902,8/21/26,0,12800,0,28,150000000,6
58,24 CHEZCKO,210372799,R2,31130276,19548443,8/21/26,24,7700,4013,33,0,23
133,24 X҉ HellSing,208158335,R2,31117154,56605449,8/21/26,0,0,508,3,0,0
98,24 X҉  dayday,210103821,R2,30910425,48174756,8/21/26,0,26500,0,22,0,11
110,Inf1n1ty,210272139,R3,30600697,148538933,8/21/26,0,13800,0,7,0,6
47,Abcdefin,210166542,R3,30059195,49729424,8/21/26,14,38600,0,76,20019200,28
121,Secteryum,209743364,R2,29970126,6584172,8/21/26,2,3700,3800,21,0,4
74,Ita city,210213330,R2,28931562,9693266,8/21/26,3,33000,0,214,20000000,17
105,石木,211329312,R2,27649972,31741568,8/21/26,1,15800,1028,15,0,8
48,ANNY20,209806538,R2,27275479,2351514,8/21/26,27,16100,0,86,19600000,28
92,SP N,208762017,R2,27083122,19076645,8/21/26,3,22800,557,23,0,12
117,24 X҉ PPPhúc,210438552,R2,26566125,63527123,8/21/26,2,4100,2947,80,0,4
14,ᶻᵒDungori,209072763,R1,26511320,74387877,8/21/26,42,25800,3593,53,0,45
60,24 X҉ Serelis,210376336,R2,26321361,93064460,8/21/26,12,25300,2034,320,0,22
