#,Governor ID,Governor Name,Camp,KD,Power,Power Diff,KP,T4,T5,Dead,Acclaim,Healed,DKP,Trades,Credit Score,Kill Points,Death Points,Heal Points
36,207979381,24 X҉ MuguiBoy,IV,3924,64295138,1246637,505789263,27112240,11680665,1593868,0,30936287,249163630,77.74,100.0,,,
124,207034573,24 X҉ HànLão,IV,3924,65456149,-3128563,253165515,17295595,3826314,818486,0,12982575,119722810,91.72,100.0,,,
133,208559123,Stflrs Mom,IV,3924,53249493,-1014579,244655773,18404875,3004547,646060,0,24361760,113355870,48.92,100.0,,,
148,207787522,ᴿᵂAmidamaru,IV,3924,54450180,15071631,238446827,19883660,1933041,265149,0,14329167,102842285,81.69,100.0,,,
181,207861650,ˣˣOldboy,IV,3924,53030811,-143484,183518167,10988848,3676946,494147,0,10451735,88137057,83.83,100.0,,,
205,208594000,Báolonf,IV,3924,52074226,8639427,175823248,12077906,2491168,515579,0,6098823,80956989,132.91,100.0,,,
241,204170130,24 X҉ Quýt,IV,3924,35254250,6716463,151431556,9158438,2962151,108477,0,8138843,67882417,91.81,100.0,,,
262,208208516,ᴿᵂBando,IV,3924,28334983,983013,125897774,8771194,1420577,933678,0,17517237,63295716,34.12,100.0,,,
273,208108254,Alex hub,IV,3924,35865763,5016842,127219165,11277658,715634,605393,0,18606480,61347867,33.11,100.0,,,
278,207000003,Takudooo,IV,3924,43612352,5405443,105744980,6386503,1992974,989864,0,6136730,60323712,74.19,100.0,,,
302,208651441,24 X҉ Tràツ,IV,3924,40074085,2275260,126679582,8907643,1370959,409944,0,11863382,55489322,51.61,100.0,,,
321,210676287,Frenzy メ,IV,3924,25043781,2820244,108066780,10590777,33840,657769,0,1784896,52568043,221.21,100.0,,,
328,210133354,24 X҉  Zenith,IV,3924,41380529,5955111,104937748,5193701,2647312,310515,0,9866832,51905649,51.55,100.0,,,
350,209530219,24 X҉ SóiGià,IV,3924,36445961,3328103,98739873,7120430,966823,694552,0,34808997,48568230,13.91,100.0,,,
362,209521513,24X҉ Quả Cam,IV,3924,32900995,1392538,100824338,7400765,1203339,326486,0,9476741,46533740,51.42,100.0,,,
373,207317722,iryshka,IV,3924,36076680,2597378,97634986,7730560,890167,304417,0,22378979,44390165,21.52,100.0,,,
374,207038636,24 X҉ BossMilk,IV,3924,41375298,1192990,89535906,6307346,1156225,465632,0,15367351,43776114,28.28,100.0,,,
384,208591565,24 X҉ Chanh,IV,3924,35116795,3510453,91309894,5914677,1456280,315380,0,13846359,42952208,32.24,100.0,,,
