#,Governor ID,Governor Name,Camp,KD,Power,Power Diff,KP,T4,T5,Dead,Acclaim,Healed,DKP,Trades,Credit Score,Kill Points,Death Points,Heal Points
1591,209294221,24X҉AlphaWolf,IV,3924,56235814,6696206,6351808,291403,171368,6919,0,1111818,2983077,28.39,100.0,,,
1597,209299428,douby 7,IV,3924,24059224,3880037,8633558,559582,5393,44014,0,1713555,2952468,24.56,100.0,,,
1598,210209380,King Bismarck,IV,3924,24778248,2534416,4085700,278974,57120,84268,0,1978166,2951116,9.91,100.0,,,
1603,209806538,ANNY20,IV,3924,22217679,886035,1595405,128064,15608,149810,0,1700929,2915486,4.31,100.0,,,
1618,210445136,24 x Đệtam,IV,3924,34295726,3598331,6503840,525864,62260,6064,0,1333331,2817016,24.28,100.0,,,
1625,209978130,Malkoc0glu,IV,3924,42866050,6415006,5430310,310315,116358,23040,0,1601874,2750440,16.71,100.0,,,
1631,209853749,24TùgGấu,IV,3924,32882795,4135026,5735740,433130,70222,19034,0,3041437,2720250,9.37,100.0,,,
1637,204517431,ThienDi,IV,3924,25072072,281284,3384740,338474,0,89595,0,3903407,2697821,4.24,100.0,,,
1639,210402314,Мех,IV,3924,22192392,1944873,211530,21153,0,173220,0,482157,2682912,,100.0,,,
1660,209506286,ˣˣ AMSTER,IV,3924,44626810,2759414,4642920,386358,38967,44038,0,1584212,2595672,14.26,100.0,,,
1664,209709756,aj rimmer,IV,3924,20140039,679820,1216934,106087,3887,141383,0,453096,2583963,10.24,100.0,,,
1667,209798395,Ubba of Antwerp,IV,3924,37459458,2955107,5795340,324468,127533,346,0,1455403,2578392,19.91,100.0,,,
1674,210210393,Zhâk,IV,3924,26762592,1393050,4942220,339745,71125,31632,0,2127480,2544710,11.45,100.0,,,
1686,208195504,ᴿᵂ Zytue,IV,3924,30909534,3844005,3114371,133178,74775,80751,0,2159648,2491727,6.95,100.0,,,
1691,208973298,24 X҉ AndiUmar,IV,3924,30934422,3104155,3894190,222767,83326,49438,0,1170220,2465898,15.96,100.0,,,
1703,209807832,Evertonian,IV,3924,27057454,3980984,2377137,75124,15542,129300,0,1780638,2395416,6.22,100.0,,,
1707,209907877,24X҉Ken,IV,3924,31982752,3575752,3501880,287384,31402,61575,0,2216447,2387181,7.69,100.0,,,
1711,210376765,BEYAZID 55,IV,3924,21071401,1306667,3635172,326160,5693,65892,0,3013524,2349950,5.9,100.0,,,
1712,208188806,rw kk,IV,3924,24240045,1974267,2603917,204498,25353,85133,0,2191732,2348517,5.72,100.0,,,
1714,210376950,NightStarr,IV,3924,24846771,2284618,1722735,115448,18950,113030,0,351954,2346742,18.52,100.0,,,
1717,210234353,AK Optimuss,IV,3924,26487948,2217305,3244742,205756,55528,63943,0,1833336,2337449,8.55,100.0,,,
1718,207562640,ᴿᵂEazyBuu,IV,3924,28913832,3067559,3556117,269778,42787,54956,0,1516511,2331322,11.31,100.0,,,
1728,209875786,24 X҉  Malrin,IV,3924,33805543,2526801,2760696,156582,59554,70352,0,611282,2277148,20.25,100.0,,,
1743,208164511,ᴿᵂIndigo,IV,3924,26749251,2398806,3697360,331720,19008,45674,0,571474,2202070,29.96,100.0,,,
1747,210428942,SuButay,IV,3924,25222333,4705384,3932624,332756,30199,36605,0,1221099,2182089,15.63,100.0,,,
1748,210387001,Cá161691,IV,3924,23619012,1539721,233250,16691,3317,138271,0,860938,2173999,,100.0,,,
1765,209119164,ᶲEmmy Noether,IV,3924,42513195,8493934,1947700,124377,35187,78936,0,513953,2033418,16.43,100.0,,,
1769,207989016,SpeedEge2,IV,3924,30132958,7224795,3727732,285590,27128,39606,0,9869736,2007730,1.88,100.0,,,
1779,207296852,ᶫʳ Dron FPV,IV,3924,28059434,3477447,3497440,191572,79086,23451,0,3250252,1908913,5.34,100.0,,,
1784,211856683,HOTBEAST II,IV,3924,22137165,1067361,4709805,470933,0,0,0,1353231,1883732,17.4,100.0,,,
1786,209641477,ᵒᵈSHuGUN,IV,3924,51078740,6522425,2077637,116772,45487,62317,0,1019550,1856713,9.6,100.0,,,
1787,209880966,24 X Blaze,IV,3924,39758295,4040095,2012850,88367,56459,61365,0,1635306,1838533,5.93,100.0,,,
1795,210490061,24 X҉ DuMuc,IV,3924,34264489,4946018,3988100,197372,100692,0,0,2725139,1796408,7.32,100.0,,,
1801,209871082,Beb0,IV,3924,22964624,1063375,2577216,149099,53893,41617,0,2007681,1759581,6.29,100.0,,,
