Name,Player ID,Clan,Power,Kill Points,RSS Assistance,DKP,Dead
ᴾᴵTorenzik,207434370,ADRL,32443433.0,84116283,0,23394633.0,1482457.0
Linh huu,212579837,ADRL,24858314.0,2351243,0,16085729.0,1041669.0
øPositron,209367234,AL,38201832.0,41740771,0,8683136.0,441934.0
ᴿᵂDoof,208294913,AL,38141204.0,85962762,0,3641903.0,117055.0
ᴿᵂGNV,208196720,AL,33782062.0,25855686,0,12229080.0,710068.0
メB L E S S,209016436,AL,33163979.0,50931566,0,6654692.0,171434.0
Gund,210300701,AL,33142976.0,36860438,0,4769423.0,17537.0
ᴿᵂMCDragoon,209862206,AL,32772421.0,66585711,0,12096932.0,191244.0
Éléna,209482763,AL,32540154.0,43592195,0,4443492.0,268286.0
Rambo ll,209321542,AL,31007370.0,19881837,0,11231619.0,417005.0
Kutilkatak,208680184,AL,30168396.0,23623773,0,7069356.0,114912.0
LORD ZEE 1,210900267,AL,27251713.0,6630200,0,18365162.0,1157694.0
ᴰᴷCamaron,209345131,AL,27251117.0,30239798,0,4822778.0,270470.0
HOY PINOY AKOヮ,207108248,AL,26183048.0,95388887,0,29103715.0,1153563.0
ᴿᵂELLVIERA,209804157,AL,25990349.0,51747831,0,5926236.0,190928.0
ʀᴡKr0uKe1z,211065244,AL,24633101.0,5847626,363552458,4845546.0,268942.0
warandromedha,210375755,AL,23835992.0,7868255,0,5137995.0,242265.0
Oulboy,210373344,AL,23811423.0,18824354,0,3818422.0,162036.0
GunnaGhøst,206992661,AL,21595174.0,30466772,0,5773541.0,370049.0
TaonguoiVietNam,209324904,LW,44493273.0,30525053,0,5990352.0,249538.0
Ulvsbane,208622212,LW,38029846.0,19563279,0,5277859.0,213043.0
Lệnh Hồ 55,210432369,LW,33205776.0,16309658,0,4724021.0,130411.0
Dirtyguido,210744133,LW,32011085.0,15391970,0,17937553.0,1107975.0
ᴰᴰAchille1,208108990,LW,30831888.0,39012740,0,7555229.0,305947.0
Ryyysiek,209509609,LW,29167718.0,20153701,0,8422276.0,223436.0
24 CHEZCKO,210372799,LW,29060987.0,13787314,0,15770697.0,980627.0
Elephent,209890750,LW,28671229.0,37383138,0,15401085.0,826387.0
GhoOosT,209310262,LW,28554369.0,5507002,0,11793043.0,675685.0
Olly25,210142805,LW,28390059.0,25285855,0,15823870.0,632104.0
ˣPoseidon,209322462,LW,28362737.0,18296187,0,4305664.0,202224.0
ero3,210373350,LW,26808179.0,17207613,0,3161507.0,33355.0
24 X҉ Tường,210394588,LW,26752335.0,38866317,0,6990363.0,183703.0
NTThaSN,210372642,LW,26563940.0,33865619,0,4421590.0,116942.0
Mảngo,210422456,LW,25457839.0,17159989,0,33667839.0,1845815.0
Almaspavlodar,210437015,LW,25334853.0,4301965,0,7380147.0,426827.0
gaberner,210441175,LW,25291630.0,6387684,0,3085217.0,154455.0
