Name,Player ID,Clan,Power,Kill Points,RSS Assistance,DKP,Dead
Quynhhxxihgaiii,209757200,ADRL,28844837.0,2130468,0,3600.0,0.0
bulldog,210401319,ADRL,26238715.0,8804851,0,408532.0,0.0
ᶲMrFoolsDay,208649830,ADRL,25855788.0,3442366,0,0.0,0.0
ˢᵛJoiSai,207592439,ADRL,24303490.0,5402051,0,0.0,
lãotứk,210664315,ADRL,20253958.0,3835796,0,0.0,0.0
Nemezis1,207032911,AL,37437542.0,27181594,0,0.0,
Parot,207275480,AL,26800302.0,31820261,0,71332.0,0.0
ᶲ Aheles,208560935,AL,26758140.0,8999693,0,20156.0,0.0
ᴿᵂ Musti,208211560,AL,26545077.0,12752622,0,678797.0,42373.0
24 X҉ Nina,207682854,AL,25222050.0,13595496,0,0.0,
sencerbatur,210394486,AL,24058422.0,4813710,0,189546.0,0.0
ᴿᵂGRAYWOLF,208226755,AL,23894518.0,19161879,184000000,392482.0,17940.0
Мех,210402314,AL,23329454.0,2950760,0,2682912.0,173220.0
Panda Legion,210562229,AL,23250888.0,48547084,0,680542.0,11148.0
Cá161691,210387001,AL,23038817.0,10147342,0,2173999.0,138271.0
ᶲ Lady D,209836261,AL,22524915.0,6108980,0,0.0,0.0
RWxLoneStar,207688109,AL,22432645.0,6460655,0,0.0,0.0
ᴿᵂ Rooster,208211218,AL,22185781.0,58205316,0,1394926.0,67246.0
Burak3523,209842652,AL,21584102.0,1217209,0,0.0,0.0
ᴿᵂIndigo,208164511,AL,21537280.0,30089607,0,2202070.0,45674.0
Eren kaya 06,210252173,AL,21474395.0,2307174,0,50944.0,0.0
Coconut15,209882504,AL,21366853.0,8841114,0,0.0,0.0
GoodVin mini,209218288,AN99,23469845.0,6692969,0,0.0,0.0
ᴷᴰ NirF,207748792,LW,29328991.0,4040793,0,0.0,0.0
QUADBREED,207320759,LW,28989946.0,4921026,0,1506129.0,99271.0
ATLAS007,209686553,LW,27518139.0,3561393,0,559963.0,18309.0
Ulvsbane farm,212007469,LW,25748720.0,6625881,0,915837.0,29025.0
ᴬᵈBethoven,211250823,LW,25112771.0,1043645,0,30028.0,0.0
YAMAMOTHO,206917763,LW,23926720.0,27971100,0,0.0,
Mitsumia,210679087,LW,22554338.0,201920,0,0.0,0.0
Bshusttt,210084771,LW,22483580.0,14825104,0,135902.0,0.0
Mefistófeles,210344374,LW,21898003.0,2908347,0,65336.0,0.0
Menezobrrr,210039896,LW,21844402.0,100305,0,3910.0,0.0
NTTha farm,209617120,LW,21799373.0,20705356,0,0.0,0.0
Incomeq,210409801,LW,21301775.0,4596992,0,0.0,0.0
aj rimmer,209709756,LW,21102654.0,3144022,0,0.0,0.0
Andyko149,210045541,LW,20812639.0,1583335,0,0.0,0.0
BEYAZID 55,210376765,LW,20336202.0,12203901,0,2349950.0,65892.0
клевый,207938366,LW,20153113.0,2589861,0,36978.0,0.0
iXx,209837225,OT24,26431484.0,18058289,0,0.0,0.0
tao nè vn,210393177,OT24,23099971.0,9595660,0,0.0,0.0
Szoboslai8,210245347,OT24,21023323.0,3135595,0,0.0,0.0
ᴳᴺAURELIUS,210253596,RAG9,28959207.0,37770793,0,0.0,0.0
ᴿᵂ Fredi888,208208571,RW24,26000763.0,12102864,0,30718.0,0.0
maiconphieu,209986084,RW24,25152601.0,1338691,0,142332.0,0.0
ᴹᴰLadyVic,210013615,SAL,28111865.0,44879112,0,0.0,0.0
Charli300,210330736,SAL,22772743.0,7332770,0,0.0,0.0
Rwjin2,207688111,SAL,22641209.0,37478655,0,0.0,0.0
KristianCor,210750053,SAL,21889697.0,15117084,0,0.0,0.0
ESKAY FUN,210418063,SAL,20908647.0,5607311,0,174608.0,4036.0
24 X Blaze,209880966,SL,43040602.0,72714304,0,1838533.0,61365.0
marious1990,206949917,SL,40209186.0,23201363,0,97868.0,0.0
24 X҉  ReDemon,209838770,SL,37516941.0,21147177,0,40336.0,0.0
ᴮᴺ Lee Myon,209692424,SL,35585558.0,31830920,0,551848.0,0.0
24 X҉  Malrin,209875786,SL,35040996.0,93776069,0,2277148.0,70352.0
24X҉   Valetta,209905807,SL,33384101.0,5459624,0,2230.0,0.0
24 X҉ AndiUmar,208973298,SL,32709106.0,43047159,0,2465898.0,49438.0
Jinozz,210101700,SL,32112958.0,34913955,0,531358.0,0.0
ᴱᶻLelya Fm,209320692,SL,29870726.0,24619191,0,412844.0,0.0
ᴹɪɴɪK0uisF,212333596,SL,22164187.0,2802201,0,229140.0,0.0
Gopq,210249125,SLF,29803551.0,5667499,0,0.0,0.0
Dâu tây cny,210066323,SLF,28204685.0,38434083,0,1402158.0,2716.0
우라차차,209926937,SLF,25097587.0,1619612,0,0.0,0.0
SlowZ06guy,210403265,SLF,22769003.0,224750,0,0.0,0.0
Lionfarm,211294741,SLF,22559272.0,5271909,0,0.0,0.0
ᶲAKa Rùa,209112837,SLF,21475643.0,22026421,0,0.0,0.0
BatesS,210372206,SLF,21394839.0,1258453,0,803895.0,53593.0
